# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.49212925e+33  2.19431000e+01  1.58246541e-01  5.65460000e+00  6.47423373e-02  6.06413729e-02  8.29334390e-01  5.57077679e-03  2.71208267e+07 
 2.30371459e+14  2.50155870e+33  2.18951000e+01  1.58515698e-01  5.66260000e+00  6.50782719e-02  6.08855962e-02  8.28217599e-01  5.62301941e-03  2.68479570e+07 
 2.30742918e+14  2.51098815e+33  2.18461000e+01  1.58784651e-01  5.67060000e+00  6.54149727e-02  6.11372471e-02  8.27096895e-01  5.67727578e-03  2.65787997e+07 
 2.31114377e+14  2.52041760e+33  2.17981000e+01  1.59053394e-01  5.67860000e+00  6.57524381e-02  6.13851793e-02  8.25972266e-01  5.73097330e-03  2.63132969e+07 
 2.31485836e+14  2.53045921e+33  2.17481000e+01  1.59339392e-01  5.68760000e+00  6.61253475e-02  6.16449196e-02  8.24709945e-01  5.78747971e-03  2.60344667e+07 
 2.31857295e+14  2.54073870e+33  2.16961000e+01  1.59632069e-01  5.69560000e+00  6.64760264e-02  6.19175746e-02  8.23565543e-01  5.84725917e-03  2.57530326e+07 
 2.32228754e+14  2.55101818e+33  2.16461000e+01  1.59924647e-01  5.70460000e+00  6.68540989e-02  6.21809501e-02  8.22290530e-01  5.90519701e-03  2.54755792e+07 
 2.32600213e+14  2.56129766e+33  2.15951000e+01  1.60217127e-01  5.71360000e+00  6.72331757e-02  6.24521920e-02  8.21010503e-01  5.96534939e-03  2.52020383e+07 
 2.32971672e+14  2.57157715e+33  2.15451000e+01  1.60509502e-01  5.72160000e+00  6.75865495e-02  6.27197891e-02  8.19853415e-01  6.02498485e-03  2.49323478e+07 
 2.33343131e+14  2.58185663e+33  2.14961000e+01  1.60801763e-01  5.73060000e+00  6.79675420e-02  6.29836426e-02  8.18563959e-01  6.08406522e-03  2.46664460e+07 
 2.33714590e+14  2.59213612e+33  2.14471000e+01  1.61093908e-01  5.73860000e+00  6.83226631e-02  6.32495564e-02  8.17398619e-01  6.14398483e-03  2.44042697e+07 
