# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.85862561e+33  1.84341000e+01  1.59185514e-01  6.59760000e+00  1.02042514e-01  7.45056104e-02  5.80955584e-01  8.97069384e-03  1.77413390e+07 
 2.33214675e+14  2.97774478e+33  1.80101000e+01  1.63774906e-01  6.68260000e+00  1.06952787e-01  7.86203983e-02  5.65581862e-01  1.01761261e-02  1.55415629e+07 
 2.36429351e+14  3.09686394e+33  1.76341000e+01  1.68323576e-01  6.76260000e+00  1.11779153e-01  8.26028119e-02  5.51232992e-01  1.14242613e-02  1.36910972e+07 
 2.39644026e+14  3.22290532e+33  1.72801000e+01  1.73091435e-01  6.84360000e+00  1.16844008e-01  8.66776107e-02  5.36747431e-01  1.27846163e-02  1.20395274e+07 
 2.42858701e+14  3.35196623e+33  1.69571000e+01  1.77933828e-01  6.92360000e+00  1.22012322e-01  9.07089097e-02  5.22455070e-01  1.42132786e-02  1.06103069e+07 
 2.46073376e+14  3.48119129e+33  1.66671000e+01  1.82737186e-01  6.99960000e+00  1.27115281e-01  9.46136313e-02  5.09006840e-01  1.56757738e-02  9.39643055e+06 
 2.49288052e+14  3.62102075e+33  1.63871000e+01  1.87889059e-01  7.07760000e+00  1.32559954e-01  9.86770081e-02  4.95365209e-01  1.72788888e-02  8.28108524e+06 
 2.52502727e+14  3.76085021e+33  1.61351000e+01  1.92997357e-01  7.15260000e+00  1.37968668e-01  1.02606061e-01  4.82327520e-01  1.89079393e-02  7.33354703e+06 
 2.55717402e+14  3.90451134e+33  1.59031000e+01  1.98195749e-01  7.22660000e+00  1.43479423e-01  1.06483711e-01  4.69554730e-01  2.05902961e-02  6.50381595e+06 
 2.58932078e+14  4.05595534e+33  1.56821000e+01  2.03630787e-01  7.30160000e+00  1.49246477e-01  1.10432412e-01  4.56713839e-01  2.23794689e-02  5.75734227e+06 
 2.62146753e+14  4.20739935e+33  1.54831000e+01  2.09018235e-01  7.37260000e+00  1.54921469e-01  1.14229828e-01  4.44782232e-01  2.41707977e-02  5.11950627e+06 
 2.65361428e+14  4.36684161e+33  1.52931000e+01  2.14637701e-01  7.44460000e+00  1.60851203e-01  1.18088418e-01  4.32784608e-01  2.60615104e-02  4.54480825e+06 
 2.68576104e+14  4.53078201e+33  1.51171000e+01  2.20369314e-01  7.51560000e+00  1.66891527e-01  1.21897247e-01  4.21107901e-01  2.79949854e-02  4.03864289e+06 
 2.71790779e+14  4.69472240e+33  1.49571000e+01  2.26049441e-01  7.58460000e+00  1.72910473e-01  1.25570927e-01  4.09806363e-01  2.99226054e-02  3.60402323e+06 
 2.75005454e+14  4.87135359e+33  1.48001000e+01  2.32115987e-01  7.65460000e+00  1.79271037e-01  1.29391013e-01  3.98656937e-01  3.19909791e-02  3.20179772e+06 
