# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.15254475e+33  1.74331000e+01  1.94762037e-01  7.56460000e+00  1.38420976e-01  9.83289440e-02  4.92594378e-01  1.72529831e-02  9.41421577e+06 
 2.30563781e+14  3.16995247e+33  1.73961000e+01  1.95410274e-01  7.57360000e+00  1.39109872e-01  9.88161678e-02  4.90985904e-01  1.74510466e-02  9.26642833e+06 
 2.31127562e+14  3.18775026e+33  1.73591000e+01  1.96071085e-01  7.58360000e+00  1.39843977e-01  9.93078756e-02  4.89139298e-01  1.76520202e-02  9.11866077e+06 
 2.31691343e+14  3.20589547e+33  1.73221000e+01  1.96742960e-01  7.59360000e+00  1.40586148e-01  9.98039475e-02  4.87299727e-01  1.78559193e-02  8.97133966e+06 
 2.32255124e+14  3.22404067e+33  1.72851000e+01  1.97413003e-01  7.60260000e+00  1.41292462e-01  1.00303050e-01  4.85702771e-01  1.80625096e-02  8.82728552e+06 
 2.32818905e+14  3.24218588e+33  1.72491000e+01  1.98081211e-01  7.61260000e+00  1.42036235e-01  1.00793519e-01  4.83853283e-01  1.82665350e-02  8.68641032e+06 
 2.33382686e+14  3.26033109e+33  1.72141000e+01  1.98747577e-01  7.62260000e+00  1.42780834e-01  1.01275135e-01  4.81998703e-01  1.84678219e-02  8.54862868e+06 
 2.33946467e+14  3.27847629e+33  1.71791000e+01  1.99412095e-01  7.63160000e+00  1.43489257e-01  1.01759525e-01  4.80387571e-01  1.86716302e-02  8.41385794e+06 
 2.34510248e+14  3.29662150e+33  1.71441000e+01  2.00074761e-01  7.64060000e+00  1.44198297e-01  1.02246709e-01  4.78771887e-01  1.88779947e-02  8.28201779e+06 
 2.35074028e+14  3.31476670e+33  1.71101000e+01  2.00735570e-01  7.65060000e+00  1.44945115e-01  1.02724698e-01  4.76902628e-01  1.90813726e-02  8.15303023e+06 
 2.35637809e+14  3.33291191e+33  1.70761000e+01  2.01394517e-01  7.65960000e+00  1.45655448e-01  1.03205358e-01  4.75277572e-01  1.92872318e-02  8.02681989e+06 
 2.36201590e+14  3.35105712e+33  1.70431000e+01  2.02051598e-01  7.66860000e+00  1.46366365e-01  1.03676542e-01  4.73647960e-01  1.94898864e-02  7.90331339e+06 
 2.36765371e+14  3.36920232e+33  1.70101000e+01  2.02706808e-01  7.67760000e+00  1.47077858e-01  1.04150273e-01  4.72013780e-01  1.96949434e-02  7.78243988e+06 
 2.37329152e+14  3.38734753e+33  1.69781000e+01  2.03360145e-01  7.68660000e+00  1.47789915e-01  1.04614244e-01  4.70375029e-01  1.98965730e-02  7.66413035e+06 
 2.37892933e+14  3.40549274e+33  1.69461000e+01  2.04011604e-01  7.69560000e+00  1.48502528e-01  1.05080638e-01  4.68731710e-01  2.01005224e-02  7.54831811e+06 
 2.38456714e+14  3.42363794e+33  1.69151000e+01  2.04661183e-01  7.70460000e+00  1.49215686e-01  1.05536991e-01  4.67083818e-01  2.03008182e-02  7.43493830e+06 
 2.39020495e+14  3.44178315e+33  1.68841000e+01  2.05308878e-01  7.71360000e+00  1.49929379e-01  1.05995641e-01  4.65431360e-01  2.05033474e-02  7.32392816e+06 
 2.39584276e+14  3.46009198e+33  1.68531000e+01  2.05960509e-01  7.72260000e+00  1.50646973e-01  1.06457238e-01  4.63779736e-01  2.07082763e-02  7.21425585e+06 
 2.40148057e+14  3.47898863e+33  1.68221000e+01  2.06631219e-01  7.73160000e+00  1.51377272e-01  1.06923462e-01  4.62142973e-01  2.09160016e-02  7.10343499e+06 
 2.40711838e+14  3.49788529e+33  1.67911000e+01  2.07300130e-01  7.74060000e+00  1.52108191e-01  1.07392057e-01  4.60501721e-01  2.11260569e-02  6.99495124e+06 
 2.41275619e+14  3.51678195e+33  1.67601000e+01  2.07967238e-01  7.74860000e+00  1.52801581e-01  1.07863041e-01  4.59107479e-01  2.13384719e-02  6.88874491e+06 
 2.41839400e+14  3.53567861e+33  1.67301000e+01  2.08632538e-01  7.75760000e+00  1.53533614e-01  1.08323480e-01  4.57457499e-01  2.15468354e-02  6.78475789e+06 
 2.42403181e+14  3.55457527e+33  1.67011000e+01  2.09296025e-01  7.76660000e+00  1.54266229e-01  1.08773153e-01  4.55803059e-01  2.17509533e-02  6.68293376e+06 
 2.42966962e+14  3.57347193e+33  1.66711000e+01  2.09957696e-01  7.77560000e+00  1.54999414e-01  1.09238054e-01  4.54144187e-01  2.19638042e-02  6.58321801e+06 
 2.43530743e+14  3.59236858e+33  1.66421000e+01  2.10617546e-01  7.78360000e+00  1.55694677e-01  1.09692063e-01  4.52733151e-01  2.21723136e-02  6.48555710e+06 
 2.44094523e+14  3.61126524e+33  1.66141000e+01  2.11275571e-01  7.79260000e+00  1.56428885e-01  1.10134960e-01  4.51065604e-01  2.23762841e-02  6.38989941e+06 
 2.44658304e+14  3.63016190e+33  1.65851000e+01  2.11931770e-01  7.80060000e+00  1.57124981e-01  1.10593202e-01  4.49646301e-01  2.25891369e-02  6.29619489e+06 
 2.45222085e+14  3.64905856e+33  1.65581000e+01  2.12586136e-01  7.80960000e+00  1.57860170e-01  1.11026791e-01  4.47970118e-01  2.27904663e-02  6.20439444e+06 
 2.45785866e+14  3.66795522e+33  1.65301000e+01  2.13238670e-01  7.81760000e+00  1.58557059e-01  1.11475748e-01  4.46542557e-01  2.30007243e-02  6.11445101e+06 
 2.46349647e+14  3.68685188e+33  1.65031000e+01  2.13889366e-01  7.82560000e+00  1.59254292e-01  1.11913183e-01  4.45110932e-01  2.32060912e-02  6.02631832e+06 
 2.46913428e+14  3.70574853e+33  1.64761000e+01  2.14538222e-01  7.83460000e+00  1.59990838e-01  1.12352521e-01  4.43421958e-01  2.34134726e-02  5.93995177e+06 
