# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.19086852e+33  2.37531000e+01  1.61816587e-01  8.32360000e+00  1.21487859e-01  5.90788087e-02  4.73531326e-01  5.29607219e-03  3.42774556e+07 
 2.32504485e+14  2.23049934e+33  2.35691000e+01  1.62560822e-01  8.33060000e+00  1.22507961e-01  5.97884923e-02  4.69528999e-01  5.44463974e-03  3.31263118e+07 
 2.35008970e+14  2.27013017e+33  2.33911000e+01  1.63294204e-01  8.33760000e+00  1.23519281e-01  6.04861025e-02  4.65548998e-01  5.59299654e-03  3.20340843e+07 
 2.37513456e+14  2.31025611e+33  2.32171000e+01  1.64025899e-01  8.34360000e+00  1.24510426e-01  6.11782646e-02  4.61753207e-01  5.74243107e-03  3.09843145e+07 
 2.40017941e+14  2.35190491e+33  2.30431000e+01  1.64775159e-01  8.35060000e+00  1.25547699e-01  6.18800588e-02  4.57686242e-01  5.89616810e-03  2.99491194e+07 
 2.42522426e+14  2.39355372e+33  2.28741000e+01  1.65514694e-01  8.35660000e+00  1.26554801e-01  6.25728488e-02  4.53836695e-01  6.05025048e-03  2.89653665e+07 
 2.45026911e+14  2.43520253e+33  2.27101000e+01  1.66244631e-01  8.36260000e+00  1.27553540e-01  6.32556654e-02  4.50011497e-01  6.20435184e-03  2.80299216e+07 
 2.47531396e+14  2.47867763e+33  2.25441000e+01  1.66997024e-01  8.36860000e+00  1.28581880e-01  6.39573637e-02  4.46094960e-01  6.36501102e-03  2.71011922e+07 
 2.50035881e+14  2.52257900e+33  2.23821000e+01  1.67748173e-01  8.37360000e+00  1.29589293e-01  6.46517394e-02  4.42371593e-01  6.52621333e-03  2.62086593e+07 
 2.52540367e+14  2.56648037e+33  2.22251000e+01  1.68490801e-01  8.37960000e+00  1.30610960e-01  6.53345056e-02  4.38477879e-01  6.68691336e-03  2.53589767e+07 
 2.55044852e+14  2.61131808e+33  2.20691000e+01  1.69240654e-01  8.38460000e+00  1.31621397e-01  6.60235912e-02  4.34749606e-01  6.85137006e-03  2.45327053e+07 
 2.57549337e+14  2.65772364e+33  2.19121000e+01  1.70008966e-01  8.38960000e+00  1.32655973e-01  6.67278349e-02  4.30951598e-01  7.02177433e-03  2.37178940e+07 
 2.60053822e+14  2.70412921e+33  2.17601000e+01  1.70769818e-01  8.39460000e+00  1.33683269e-01  6.74191645e-02  4.27180873e-01  7.19126177e-03  2.29415278e+07 
 2.62558307e+14  2.75053478e+33  2.16131000e+01  1.71523231e-01  8.39960000e+00  1.34703109e-01  6.80965022e-02  4.23438390e-01  7.35940884e-03  2.22014774e+07 
 2.65062793e+14  2.79953558e+33  2.14611000e+01  1.72311532e-01  8.40460000e+00  1.35766414e-01  6.88092487e-02  4.19571085e-01  7.53881566e-03  2.14565394e+07 
 2.67567278e+14  2.84871756e+33  2.13131000e+01  1.73096349e-01  8.40960000e+00  1.36826563e-01  6.95132893e-02  4.15721839e-01  7.71832355e-03  2.07436387e+07 
 2.70071763e+14  2.89789953e+33  2.11701000e+01  1.73874758e-01  8.41360000e+00  1.37857507e-01  7.02021626e-02  4.12101476e-01  7.89607966e-03  2.00637338e+07 
 2.72576248e+14  2.94859677e+33  2.10261000e+01  1.74670631e-01  8.41860000e+00  1.38932555e-01  7.09074234e-02  4.08227304e-01  8.08045198e-03  1.93953766e+07 
 2.75080733e+14  3.00085096e+33  2.08811000e+01  1.75485453e-01  8.42260000e+00  1.40008611e-01  7.16295455e-02  4.04494939e-01  8.27171840e-03  1.87380924e+07 
 2.77585218e+14  3.05310516e+33  2.07411000e+01  1.76294914e-01  8.42660000e+00  1.41078275e-01  7.23355098e-02  4.00795373e-01  8.46088185e-03  1.81110664e+07 
 2.80089704e+14  3.11274535e+33  2.05851000e+01  1.77212515e-01  8.43160000e+00  1.42301193e-01  7.31363647e-02  3.96526205e-01  8.67838772e-03  1.74301206e+07 
 2.82594189e+14  3.31497827e+33  2.00661000e+01  1.80462766e-01  8.44760000e+00  1.46555873e-01  7.59265302e-02  3.82190976e-01  9.45942804e-03  1.52689816e+07 
 2.85098674e+14  3.43405134e+33  1.97691000e+01  1.82498573e-01  8.45760000e+00  1.49171542e-01  7.76287024e-02  3.73710911e-01  9.95347879e-03  1.40987432e+07 
 2.87603159e+14  3.53757483e+33  1.95191000e+01  1.84313081e-01  8.46660000e+00  1.51476202e-01  7.91299881e-02  3.66434489e-01  1.04005324e-02  1.31565523e+07 
 2.90107644e+14  3.64293424e+33  1.92741000e+01  1.86197948e-01  8.47560000e+00  1.53836790e-01  8.06632907e-02  3.59221983e-01  1.08677228e-02  1.22660016e+07 
 2.92612130e+14  3.75108660e+33  1.90321000e+01  1.88170347e-01  8.48560000e+00  1.56294558e-01  8.22429306e-02  3.51840559e-01  1.13602487e-02  1.14191517e+07 
 2.95116615e+14  3.86134469e+33  1.87951000e+01  1.90217743e-01  8.49660000e+00  1.58834411e-01  8.38572267e-02  3.44342122e-01  1.18752911e-02  1.06213745e+07 
 2.97621100e+14  3.97350439e+33  1.85631000e+01  1.92335924e-01  8.50760000e+00  1.61428400e-01  8.55080770e-02  3.36952405e-01  1.24143951e-02  9.87289293e+06 
 3.00125585e+14  4.08781208e+33  1.83371000e+01  1.94529005e-01  8.51860000e+00  1.64080629e-01  8.71858003e-02  3.29673009e-01  1.29746752e-02  9.17056970e+06 
