# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.11389466e+33  1.76194310e+03  1.07967991e-01  1.98760000e+00  3.54085809e-03  3.20844838e-02  9.99999484e-01 -6.81408279e-05 -7.48962524e+15 
 2.37480135e+14  1.21268186e+33  6.62704100e+02  8.82069781e-02  2.26760000e+00  5.34290304e-03  6.21826938e-03  9.99954926e-01  2.44393476e-03  5.55573544e+15 
 2.44960270e+14  1.32343890e+33  3.28105100e+02  8.45941584e-02  2.52660000e+00  7.50920031e-03  2.92717519e-03  9.99291291e-01  5.64441646e-04  4.70490072e+13 
 2.52440405e+14  1.44833357e+33  1.94459100e+02  8.36373908e-02  2.77060000e+00  1.00638219e-02  2.42758929e-03  9.96045027e-01  3.06374746e-04  1.97678902e+12 
 2.59920541e+14  1.58465307e+33  1.29327100e+02  8.37743691e-02  2.99960000e+00  1.29744839e-02  2.80915608e-03  9.88371201e-01  2.12749264e-04  1.77144761e+11 
 2.67400676e+14  1.73721299e+33  9.18801000e+01  8.46625063e-02  3.22060000e+00  1.63188276e-02  3.83352214e-03  9.75834245e-01  1.72593099e-04  2.46742237e+10 
 2.74880811e+14  1.90769951e+33  6.85201000e+01  8.62364287e-02  3.43660000e+00  2.01510051e-02  5.54941354e-03  9.58658206e-01  1.60271105e-04  4.82014095e+09 
 2.82360946e+14  1.97223143e+33  6.24741000e+01  8.69419278e-02  3.51060000e+00  2.16030333e-02  6.32554963e-03  9.51624162e-01  1.61566740e-04  2.93950399e+09 
 2.89841081e+14  2.04222516e+33  5.74321000e+01  8.76840101e-02  3.58060000e+00  2.30567737e-02  7.15867506e-03  9.44373839e-01  1.65737612e-04  1.89740886e+09 
 2.97321216e+14  2.13257927e+33  5.22081000e+01  8.86539837e-02  3.66360000e+00  2.48859895e-02  8.27218445e-03  9.35001440e-01  1.74995680e-04  1.17704718e+09 
 3.04801352e+14  2.22451223e+33  4.79611000e+01  8.96478195e-02  3.74060000e+00  2.66928007e-02  9.43885440e-03  9.25498013e-01  1.88727765e-04  7.85509059e+08 
 3.12281487e+14  2.31801158e+33  4.44451000e+01  9.06579817e-02  3.81160000e+00  2.84644908e-02  1.06488222e-02  9.15969063e-01  2.07072681e-04  5.56904071e+08 
 3.19761622e+14  2.41312193e+33  4.14891000e+01  9.16793999e-02  3.87860000e+00  3.02270730e-02  1.18935304e-02  9.06317526e-01  2.30197132e-04  4.14934503e+08 
 3.27241757e+14  2.50977739e+33  3.89721000e+01  9.27071671e-02  3.94160000e+00  3.19723582e-02  1.31651876e-02  8.96609156e-01  2.58304743e-04  3.22035130e+08 
 3.34721892e+14  2.60796304e+33  3.68031000e+01  9.37379481e-02  4.00060000e+00  3.36926149e-02  1.44584569e-02  8.86912088e-01  2.91635134e-04  2.58376504e+08 
 3.42202027e+14  2.70766781e+33  3.49171000e+01  9.47691928e-02  4.05560000e+00  3.53803873e-02  1.57664062e-02  8.77296825e-01  3.30282108e-04  2.12965059e+08 
 3.49682162e+14  2.80888094e+33  3.32611000e+01  9.57989184e-02  4.10760000e+00  3.70497237e-02  1.70859392e-02  8.67700745e-01  3.74462997e-04  1.79414400e+08 
 3.57162298e+14  2.91161982e+33  3.17971000e+01  9.68258543e-02  4.15660000e+00  3.86954622e-02  1.84114496e-02  8.58173152e-01  4.24190007e-04  1.53854318e+08 
 3.64642433e+14  3.01587490e+33  3.04911000e+01  9.78487941e-02  4.20360000e+00  4.03346862e-02  1.97429220e-02  8.48616330e-01  4.79733102e-04  1.33861639e+08 
 3.72122568e+14  3.12160685e+33  2.93221000e+01  9.88664862e-02  4.24760000e+00  4.19410147e-02  2.10729358e-02  8.39216950e-01  5.40876254e-04  1.17868064e+08 
 3.79602703e+14  3.22880596e+33  2.82671000e+01  9.98781836e-02  4.28960000e+00  4.35328015e-02  2.24030495e-02  8.29864110e-01  6.07880721e-04  1.04818960e+08 
 3.87082838e+14  3.33746278e+33  2.73121000e+01  1.00883307e-01  4.32960000e+00  4.51067810e-02  2.37277898e-02  8.20588941e-01  6.80511150e-04  9.39901931e+07 
 3.94562973e+14  3.44756810e+33  2.64421000e+01  1.01881420e-01  4.36760000e+00  4.66597909e-02  2.50479976e-02  8.11422850e-01  7.58907500e-04  8.48715243e+07 
 4.02043109e+14  3.55916237e+33  2.56461000e+01  1.02872597e-01  4.40360000e+00  4.81891019e-02  2.63621607e-02  8.02395666e-01  8.43013542e-04  7.70923110e+07 
 4.09523244e+14  3.67219099e+33  2.49161000e+01  1.03856181e-01  4.43760000e+00  4.96915227e-02  2.76665732e-02  7.93539395e-01  9.32565631e-04  7.03860137e+07 
 4.17003379e+14  3.78664093e+33  2.42431000e+01  1.04831933e-01  4.47060000e+00  5.11893787e-02  2.89626706e-02  7.84692178e-01  1.02767123e-03  6.45498698e+07 
 4.24483514e+14  3.90250379e+33  2.36221000e+01  1.05799721e-01  4.50160000e+00  5.26555863e-02  3.02456621e-02  7.76064671e-01  1.12787163e-03  5.94289370e+07 
 4.31963649e+14  4.01977135e+33  2.30451000e+01  1.06759462e-01  4.53160000e+00  5.41133930e-02  3.15206574e-02  7.67483389e-01  1.23357742e-03  5.49029773e+07 
 4.39443784e+14  4.13844727e+33  2.25091000e+01  1.07711206e-01  4.56060000e+00  5.55613898e-02  3.27822966e-02  7.58961252e-01  1.34421115e-03  5.08770690e+07 
 4.46923919e+14  4.25855122e+33  2.20091000e+01  1.08655128e-01  4.58760000e+00  5.69718558e-02  3.40322256e-02  7.50723220e-01  1.45983525e-03  4.72751061e+07 
 4.54404055e+14  4.38003556e+33  2.15421000e+01  1.09590919e-01  4.61460000e+00  5.83958129e-02  3.52681995e-02  7.42362808e-01  1.58010855e-03  4.40374982e+07 
 4.61884190e+14  4.50289274e+33  2.11041000e+01  1.10518629e-01  4.63960000e+00  5.97786994e-02  3.64925969e-02  7.34322802e-01  1.70517442e-03  4.11143979e+07 
 4.69364325e+14  4.62711535e+33  2.06931000e+01  1.11438275e-01  4.66360000e+00  6.11457614e-02  3.77026172e-02  7.26402545e-01  1.83458631e-03  3.84647046e+07 
 4.76844460e+14  4.75269615e+33  2.03061000e+01  1.12349922e-01  4.68660000e+00  6.24957988e-02  3.89000874e-02  7.18614166e-01  1.96842308e-03  3.60541736e+07 
 4.84324595e+14  4.87964820e+33  1.99421000e+01  1.13253801e-01  4.70860000e+00  6.38277671e-02  4.00803947e-02  7.10969251e-01  2.10594606e-03  3.38536996e+07 
 4.91804730e+14  5.00797255e+33  1.95971000e+01  1.14150020e-01  4.73060000e+00  6.51687696e-02  4.12517763e-02  7.03240302e-01  2.24807400e-03  3.18389015e+07 
 4.99284866e+14  5.13763354e+33  1.92711000e+01  1.15038462e-01  4.75160000e+00  6.64899307e-02  4.24075221e-02  6.95670057e-01  2.39377807e-03  2.99895155e+07 
 5.06765001e+14  5.26862445e+33  1.89631000e+01  1.15919213e-01  4.77060000e+00  6.77616043e-02  4.35450379e-02  6.88515776e-01  2.54249273e-03  2.82877017e+07 
 5.14245136e+14  5.40093869e+33  1.86701000e+01  1.16792391e-01  4.78960000e+00  6.90398060e-02  4.46717184e-02  6.81299824e-01  2.69510507e-03  2.67180378e+07 
 5.21725271e+14  5.53456978e+33  1.83911000e+01  1.17658052e-01  4.80860000e+00  7.03243129e-02  4.57869549e-02  6.74021372e-01  2.85139811e-03  2.52671634e+07 
 5.29205406e+14  5.66953327e+33  1.81261000e+01  1.18516483e-01  4.82560000e+00  7.15563800e-02  4.68854683e-02  6.67193633e-01  3.01038879e-03  2.39231876e+07 
 5.36685541e+14  5.80582518e+33  1.78731000e+01  1.19367785e-01  4.84260000e+00  7.27935123e-02  4.79724701e-02  6.60316704e-01  3.17272649e-03  2.26759124e+07 
 5.44165676e+14  5.94341464e+33  1.76321000e+01  1.20211871e-01  4.85960000e+00  7.40353912e-02  4.90434066e-02  6.53390407e-01  3.33750135e-03  2.15165799e+07 
 5.51645812e+14  6.08229562e+33  1.74021000e+01  1.21048881e-01  4.87560000e+00  7.52518780e-02  5.00992826e-02  6.46681296e-01  3.50468448e-03  2.04372146e+07 
 5.59125947e+14  6.22246218e+33  1.71811000e+01  1.21878898e-01  4.89060000e+00  7.64422192e-02  5.11476202e-02  6.40198091e-01  3.67543585e-03  1.94307451e+07 
 5.66606082e+14  6.36390847e+33  1.69701000e+01  1.22702042e-01  4.90560000e+00  7.76359145e-02  5.21789251e-02  6.33678127e-01  3.84792062e-03  1.84908783e+07 
