# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.04434177e+33  3.24481000e+01  9.31114456e-02  5.40860000e+00  6.06086166e-02  1.72791398e-02  5.98444755e-01  3.61976328e-04  1.76676815e+08 
 2.30406224e+14  2.05828179e+33  3.19531000e+01  9.36006233e-02  5.42160000e+00  6.11234067e-02  1.78059119e-02  5.94948007e-01  3.81234721e-04  1.67854162e+08 
 2.30812447e+14  2.07222181e+33  3.14791000e+01  9.40905561e-02  5.43560000e+00  6.16657711e-02  1.83352929e-02  5.91183936e-01  4.01428288e-04  1.59792986e+08 
 2.31218671e+14  2.08616184e+33  3.10231000e+01  9.45811897e-02  5.44860000e+00  6.21848828e-02  1.88691977e-02  5.87747869e-01  4.22689842e-04  1.52402570e+08 
 2.31624895e+14  2.10059659e+33  3.05711000e+01  9.50899583e-02  5.46260000e+00  6.27384962e-02  1.94237853e-02  5.84056027e-01  4.45693792e-04  1.45374090e+08 
 2.32031119e+14  2.11530244e+33  3.01281000e+01  9.56091197e-02  5.47660000e+00  6.32982108e-02  1.99934907e-02  5.80401778e-01  4.70355473e-04  1.38789530e+08 
 2.32437342e+14  2.13000829e+33  2.97041000e+01  9.61290834e-02  5.49060000e+00  6.38603734e-02  2.05645788e-02  5.76773526e-01  4.96091055e-04  1.32720424e+08 
 2.32843566e+14  2.14471413e+33  2.92961000e+01  9.66497928e-02  5.50460000e+00  6.44249765e-02  2.11395119e-02  5.73169295e-01  5.23076047e-04  1.27109387e+08 
 2.33249790e+14  2.15941998e+33  2.89041000e+01  9.71711961e-02  5.51860000e+00  6.49920102e-02  2.17168283e-02  5.69587301e-01  5.51253351e-04  1.21907138e+08 
 2.33656014e+14  2.17412583e+33  2.85261000e+01  9.76932440e-02  5.53260000e+00  6.55614648e-02  2.22980820e-02  5.66025885e-01  5.80751974e-04  1.17070755e+08 
 2.34062237e+14  2.18883168e+33  2.81631000e+01  9.82158871e-02  5.54560000e+00  6.61068144e-02  2.28803351e-02  5.62795246e-01  6.11412514e-04  1.12563159e+08 
 2.34468461e+14  2.20353753e+33  2.78141000e+01  9.87390796e-02  5.55960000e+00  6.66809611e-02  2.34636789e-02  5.59271723e-01  6.43262241e-04  1.08351799e+08 
 2.34874685e+14  2.21824338e+33  2.74771000e+01  9.92627831e-02  5.57260000e+00  6.72307211e-02  2.40501118e-02  5.56078951e-01  6.76462430e-04  1.04408124e+08 
 2.35280908e+14  2.23294923e+33  2.71521000e+01  9.97869461e-02  5.58660000e+00  6.78095247e-02  2.46384182e-02  5.52587854e-01  7.10957415e-04  1.00707179e+08 
 2.35687132e+14  2.24765508e+33  2.68381000e+01  1.00311535e-01  5.59960000e+00  6.83636734e-02  2.52291897e-02  5.49427528e-01  7.46816112e-04  9.72269138e+07 
 2.36093356e+14  2.26236093e+33  2.65361000e+01  1.00836505e-01  5.61260000e+00  6.89199454e-02  2.58193054e-02  5.46282163e-01  7.83830566e-04  9.39479111e+07 
 2.36499580e+14  2.27706678e+33  2.62431000e+01  1.01361823e-01  5.62560000e+00  6.94783269e-02  2.64133632e-02  5.43150815e-01  8.22368328e-04  9.08528111e+07 
 2.36905803e+14  2.29177263e+33  2.59611000e+01  1.01887449e-01  5.63860000e+00  7.00388162e-02  2.70062906e-02  5.40032336e-01  8.62062419e-04  8.79263594e+07 
 2.37312027e+14  2.30647848e+33  2.56881000e+01  1.02413349e-01  5.65160000e+00  7.06014065e-02  2.76010067e-02  5.36925752e-01  9.03158026e-04  8.51548133e+07 
 2.37718251e+14  2.32118433e+33  2.54231000e+01  1.02939488e-01  5.66460000e+00  7.11660908e-02  2.81986995e-02  5.33830145e-01  9.45778709e-04  8.25259286e+07 
 2.38124474e+14  2.33589018e+33  2.51681000e+01  1.03465834e-01  5.67660000e+00  7.17050761e-02  2.87939158e-02  5.31068335e-01  9.89488272e-04  8.00288126e+07 
 2.38530698e+14  2.35059603e+33  2.49201000e+01  1.03992355e-01  5.68960000e+00  7.22738069e-02  2.93923817e-02  5.27993163e-01  1.03478712e-03  7.76535365e+07 
 2.38936922e+14  2.36530188e+33  2.46801000e+01  1.04519016e-01  5.70260000e+00  7.28446165e-02  2.99908994e-02  5.24926389e-01  1.08142063e-03  7.53912668e+07 
 2.39343146e+14  2.38000773e+33  2.44481000e+01  1.05045794e-01  5.71460000e+00  7.33893374e-02  3.05884456e-02  5.22194131e-01  1.12930718e-03  7.32339887e+07 
 2.39749369e+14  2.39471358e+33  2.42221000e+01  1.05572657e-01  5.72660000e+00  7.39358766e-02  3.11890975e-02  5.19470834e-01  1.17883713e-03  7.11744117e+07 
 2.40155593e+14  2.41027647e+33  2.39911000e+01  1.06130351e-01  5.73960000e+00  7.45248100e-02  3.18230479e-02  5.16499153e-01  1.23258655e-03  6.90937237e+07 
 2.40561817e+14  2.42643929e+33  2.37591000e+01  1.06709910e-01  5.75360000e+00  7.51530387e-02  3.24809954e-02  5.13257619e-01  1.28999765e-03  6.70321986e+07 
 2.40968041e+14  2.44260210e+33  2.35331000e+01  1.07289834e-01  5.76660000e+00  7.57551138e-02  3.31431038e-02  5.10354456e-01  1.34950868e-03  6.50649200e+07 
 2.41374264e+14  2.45876491e+33  2.33151000e+01  1.07870079e-01  5.77960000e+00  7.63594379e-02  3.38028333e-02  5.07460151e-01  1.41048445e-03  6.31855984e+07 
 2.41780488e+14  2.47492772e+33  2.31041000e+01  1.08450614e-01  5.79360000e+00  7.69949333e-02  3.44618855e-02  5.04241704e-01  1.47310333e-03  6.13884685e+07 
 2.42186712e+14  2.49109054e+33  2.28991000e+01  1.09031399e-01  5.80660000e+00  7.76038514e-02  3.51222459e-02  5.01362258e-01  1.53759143e-03  5.96682748e+07 
