# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.68886391e+33  1.53971000e+01  2.23790144e-01  8.77660000e+00  2.03420659e-01  1.30512381e-01  1.75697610e-01  3.35322764e-02  4.90931946e+06 
 2.31555087e+14  3.75300856e+33  1.53291000e+01  2.26537754e-01  8.80360000e+00  2.06225724e-01  1.32251304e-01  1.73207234e-01  3.45440189e-02  4.65394853e+06 
 2.33110174e+14  3.81996467e+33  1.52621000e+01  2.29383937e-01  8.83160000e+00  2.09146304e-01  1.34014245e-01  1.70576066e-01  3.55828982e-02  4.40621985e+06 
 2.34665262e+14  3.88692078e+33  1.51981000e+01  2.32208930e-01  8.85960000e+00  2.12066429e-01  1.35739914e-01  1.67866451e-01  3.66133068e-02  4.17598791e+06 
 2.36220349e+14  3.95387689e+33  1.51371000e+01  2.35012466e-01  8.88560000e+00  2.14912624e-01  1.37425889e-01  1.65623502e-01  3.76324503e-02  3.96177470e+06 
 2.37775436e+14  4.02083299e+33  1.50791000e+01  2.37794320e-01  8.91260000e+00  2.17793478e-01  1.39069756e-01  1.63032278e-01  3.86374661e-02  3.76224207e+06 
 2.39330523e+14  4.08778910e+33  1.50231000e+01  2.40554306e-01  8.93760000e+00  2.20598409e-01  1.40687850e-01  1.60906296e-01  3.96386358e-02  3.57617856e+06 
 2.40885611e+14  4.15644833e+33  1.49681000e+01  2.43362103e-01  8.96360000e+00  2.23485305e-01  1.42312243e-01  1.58551084e-01  4.06547144e-02  3.39819211e+06 
 2.42440698e+14  4.22659546e+33  1.49151000e+01  2.46209629e-01  8.98960000e+00  2.26412094e-01  1.43921363e-01  1.56222216e-01  4.16704686e-02  3.22851231e+06 
 2.43995785e+14  4.29674259e+33  1.48641000e+01  2.49035921e-01  9.01460000e+00  2.29299249e-01  1.45501065e-01  1.54087586e-01  4.26780258e-02  3.07012334e+06 
 2.45550872e+14  4.36688972e+33  1.48151000e+01  2.51840777e-01  9.03960000e+00  2.32183602e-01  1.47049858e-01  1.51881147e-01  4.36754762e-02  2.92212449e+06 
 2.47105959e+14  4.43703685e+33  1.47681000e+01  2.54624025e-01  9.06360000e+00  2.35026829e-01  1.48566246e-01  1.49869445e-01  4.46608703e-02  2.78369588e+06 
 2.48661047e+14  4.50718399e+33  1.47231000e+01  2.57385526e-01  9.08760000e+00  2.37866273e-01  1.50048749e-01  1.47788179e-01  4.56322335e-02  2.65409101e+06 
 2.50216134e+14  4.58048609e+33  1.46771000e+01  2.60249341e-01  9.11160000e+00  2.40788622e-01  1.51583483e-01  1.45827018e-01  4.66480179e-02  2.52728748e+06 
 2.51771221e+14  4.65391259e+33  1.46341000e+01  2.63097081e-01  9.13560000e+00  2.43711292e-01  1.53063315e-01  1.43804793e-01  4.76325903e-02  2.40836621e+06 
 2.53326308e+14  4.72733908e+33  1.45921000e+01  2.65923682e-01  9.15960000e+00  2.46630527e-01  1.54527386e-01  1.41716370e-01  4.86156019e-02  2.29693105e+06 
 2.54881395e+14  4.80076558e+33  1.45521000e+01  2.68728987e-01  9.18160000e+00  2.49467995e-01  1.55953603e-01  1.40082725e-01  4.95791162e-02  2.19241585e+06 
 2.56436483e+14  4.87419207e+33  1.45141000e+01  2.71512867e-01  9.20460000e+00  2.52339894e-01  1.57340547e-01  1.38124555e-01  5.05210806e-02  2.09430287e+06 
 2.57991570e+14  4.94890532e+33  1.44761000e+01  2.74323652e-01  9.22660000e+00  2.55202236e-01  1.58740511e-01  1.36429992e-01  5.14800065e-02  2.00054615e+06 
 2.59546657e+14  5.02571242e+33  1.44391000e+01  2.77192306e-01  9.24960000e+00  2.58155833e-01  1.60137684e-01  1.34525586e-01  5.24411971e-02  1.91001044e+06 
 2.61101744e+14  5.10251952e+33  1.44031000e+01  2.80040157e-01  9.27160000e+00  2.61065649e-01  1.61515511e-01  1.32815672e-01  5.33956510e-02  1.82495677e+06 
 2.62656832e+14  5.17932661e+33  1.43691000e+01  2.82867060e-01  9.29360000e+00  2.63970776e-01  1.62850702e-01  1.31044803e-01  5.43235176e-02  1.74498709e+06 
 2.64211919e+14  5.25613371e+33  1.43361000e+01  2.85672887e-01  9.31460000e+00  2.66830821e-01  1.64164816e-01  1.29468454e-01  5.52420006e-02  1.66973584e+06 
 2.65767006e+14  5.33294081e+33  1.43041000e+01  2.88457540e-01  9.33560000e+00  2.69685317e-01  1.65457231e-01  1.27832979e-01  5.61501318e-02  1.59886712e+06 
 2.67322093e+14  5.41250863e+33  1.42721000e+01  2.91320775e-01  9.35660000e+00  2.72606401e-01  1.66770526e-01  1.26269600e-01  5.70771534e-02  1.52972300e+06 
 2.68877180e+14  5.49281355e+33  1.42411000e+01  2.94190127e-01  9.37760000e+00  2.75541803e-01  1.68066751e-01  1.24682684e-01  5.79954523e-02  1.46399480e+06 
 2.70432268e+14  5.57311847e+33  1.42111000e+01  2.97038895e-01  9.39860000e+00  2.78472030e-01  1.69340046e-01  1.23039312e-01  5.89013652e-02  1.40205683e+06 
 2.71987355e+14  5.65342339e+33  1.41821000e+01  2.99866961e-01  9.41860000e+00  2.81355770e-01  1.70589822e-01  1.21590313e-01  5.97939251e-02  1.34364662e+06 
 2.73542442e+14  5.73372831e+33  1.41551000e+01  3.02674227e-01  9.43860000e+00  2.84233489e-01  1.71791203e-01  1.20086510e-01  6.06507236e-02  1.28852209e+06 
