# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.76796207e+33  1.98931000e+01  1.70045348e-01  7.39560000e+00  1.19518364e-01  7.34666057e-02  5.25937180e-01  8.73427683e-03  1.81753960e+07 
 2.30459504e+14  2.78383263e+33  1.98311000e+01  1.70570686e-01  7.40460000e+00  1.20148670e-01  7.39215890e-02  5.23803349e-01  8.86075562e-03  1.78752111e+07 
 2.30919008e+14  2.79970318e+33  1.97711000e+01  1.71095948e-01  7.41260000e+00  1.20751951e-01  7.43664625e-02  5.21882471e-01  8.98522542e-03  1.75813775e+07 
 2.31378511e+14  2.81557374e+33  1.97111000e+01  1.71621111e-01  7.42060000e+00  1.21355798e-01  7.48160517e-02  5.19964305e-01  9.11212791e-03  1.72937408e+07 
 2.31838015e+14  2.83144430e+33  1.96521000e+01  1.72146156e-01  7.42960000e+00  1.21988058e-01  7.52627474e-02  5.17837249e-01  9.23916400e-03  1.70121514e+07 
 2.32297519e+14  2.84731486e+33  1.95941000e+01  1.72671059e-01  7.43760000e+00  1.22593054e-01  7.57063923e-02  5.15924146e-01  9.36626554e-03  1.67364630e+07 
 2.32757023e+14  2.86318542e+33  1.95371000e+01  1.73195803e-01  7.44560000e+00  1.23198568e-01  7.61468300e-02  5.14013729e-01  9.49336320e-03  1.64665326e+07 
 2.33216526e+14  2.87905598e+33  1.94801000e+01  1.73720365e-01  7.45460000e+00  1.23832636e-01  7.65917645e-02  5.11893372e-01  9.62285499e-03  1.62022216e+07 
 2.33676030e+14  2.89492654e+33  1.94241000e+01  1.74244726e-01  7.46260000e+00  1.24439207e-01  7.70333079e-02  5.09987927e-01  9.75227837e-03  1.59433943e+07 
 2.34135534e+14  2.91079710e+33  1.93691000e+01  1.74768867e-01  7.47060000e+00  1.25046253e-01  7.74712987e-02  5.08085100e-01  9.88155895e-03  1.56899190e+07 
 2.34595038e+14  2.92666766e+33  1.93151000e+01  1.75292768e-01  7.47860000e+00  1.25653763e-01  7.79055739e-02  5.06184857e-01  1.00106202e-02  1.54416669e+07 
 2.35054541e+14  2.94253822e+33  1.92611000e+01  1.75816410e-01  7.48660000e+00  1.26261722e-01  7.83441052e-02  5.04287178e-01  1.01420168e-02  1.51985129e+07 
 2.35514045e+14  2.95840877e+33  1.92081000e+01  1.76339775e-01  7.49460000e+00  1.26870118e-01  7.87787281e-02  5.02392034e-01  1.02731188e-02  1.49603350e+07 
 2.35973549e+14  2.97427933e+33  1.91561000e+01  1.76862845e-01  7.50260000e+00  1.27478939e-01  7.92092767e-02  5.00499395e-01  1.04038453e-02  1.47270143e+07 
 2.36433053e+14  2.99014989e+33  1.91041000e+01  1.77385602e-01  7.51060000e+00  1.28088172e-01  7.96439228e-02  4.98609240e-01  1.05368710e-02  1.44984349e+07 
 2.36892556e+14  3.00602045e+33  1.90531000e+01  1.77908029e-01  7.51860000e+00  1.28697806e-01  8.00742955e-02  4.96721532e-01  1.06694383e-02  1.42744842e+07 
 2.37352060e+14  3.02228009e+33  1.90021000e+01  1.78442916e-01  7.52660000e+00  1.29317190e-01  8.05088042e-02  4.94832269e-01  1.08040841e-02  1.40497234e+07 
 2.37811564e+14  3.03979031e+33  1.89471000e+01  1.79018829e-01  7.53460000e+00  1.29967218e-01  8.09819854e-02  4.92933227e-01  1.09519328e-02  1.38127237e+07 
 2.38271068e+14  3.05730053e+33  1.88931000e+01  1.79594723e-01  7.54360000e+00  1.30646610e-01  8.14513731e-02  4.90821692e-01  1.10996264e-02  1.35807888e+07 
 2.38730571e+14  3.07481075e+33  1.88401000e+01  1.80170573e-01  7.55160000e+00  1.31297963e-01  8.19167942e-02  4.88929093e-01  1.12470773e-02  1.33537971e+07 
 2.39190075e+14  3.09232097e+33  1.87871000e+01  1.80746358e-01  7.56060000e+00  1.31978765e-01  8.23868460e-02  4.86823441e-01  1.13972294e-02  1.31316299e+07 
 2.39649579e+14  3.10983119e+33  1.87351000e+01  1.81322051e-01  7.56860000e+00  1.32631360e-01  8.28527274e-02  4.84937295e-01  1.15470538e-02  1.29141709e+07 
 2.40109083e+14  3.12734140e+33  1.86841000e+01  1.81897632e-01  7.57660000e+00  1.33284515e-01  8.33142600e-02  4.83054489e-01  1.16964569e-02  1.27013063e+07 
 2.40568586e+14  3.14485162e+33  1.86331000e+01  1.82473078e-01  7.58560000e+00  1.33967257e-01  8.37802565e-02  4.80957751e-01  1.18485223e-02  1.24929256e+07 
 2.41028090e+14  3.16236184e+33  1.85831000e+01  1.83048366e-01  7.59360000e+00  1.34621547e-01  8.42416896e-02  4.79081290e-01  1.20000711e-02  1.22889206e+07 
 2.41487594e+14  3.17987206e+33  1.85341000e+01  1.83623474e-01  7.60160000e+00  1.35276347e-01  8.46983767e-02  4.77208092e-01  1.21510039e-02  1.20891858e+07 
 2.41947098e+14  3.19738228e+33  1.84861000e+01  1.84198381e-01  7.60960000e+00  1.35931642e-01  8.51501343e-02  4.75338127e-01  1.23012199e-02  1.18936186e+07 
 2.42406601e+14  3.21489250e+33  1.84381000e+01  1.84773066e-01  7.61760000e+00  1.36587418e-01  8.56060648e-02  4.73471373e-01  1.24539931e-02  1.17021188e+07 
 2.42866105e+14  3.23240272e+33  1.83911000e+01  1.85347508e-01  7.62560000e+00  1.37243659e-01  8.60568424e-02  4.71607785e-01  1.26059414e-02  1.15145888e+07 
 2.43325609e+14  3.24991294e+33  1.83441000e+01  1.85921687e-01  7.63360000e+00  1.37900352e-01  8.65117134e-02  4.69747333e-01  1.27604362e-02  1.13309335e+07 
 2.43785113e+14  3.26742316e+33  1.82981000e+01  1.86495582e-01  7.64160000e+00  1.38557483e-01  8.69612041e-02  4.67889979e-01  1.29139928e-02  1.11510602e+07 
 2.44244616e+14  3.28493338e+33  1.82521000e+01  1.87069175e-01  7.64960000e+00  1.39215038e-01  8.74147052e-02  4.66035690e-01  1.30700813e-02  1.09748784e+07 
 2.44704120e+14  3.30244359e+33  1.82071000e+01  1.87642445e-01  7.65760000e+00  1.39873005e-01  8.78625952e-02  4.64184428e-01  1.32251131e-02  1.08023002e+07 
 2.45163624e+14  3.31995381e+33  1.81631000e+01  1.88215375e-01  7.66560000e+00  1.40531370e-01  8.83046844e-02  4.62336155e-01  1.33789752e-02  1.06332398e+07 
 2.45623128e+14  3.33746403e+33  1.81191000e+01  1.88787946e-01  7.67360000e+00  1.41190121e-01  8.87505802e-02  4.60490839e-01  1.35352881e-02  1.04676137e+07 
 2.46082631e+14  3.35579846e+33  1.80741000e+01  1.89387112e-01  7.68160000e+00  1.41869100e-01  8.92110005e-02  4.58644645e-01  1.36975693e-02  1.02977698e+07 
 2.46542135e+14  3.37509287e+33  1.80271000e+01  1.90017576e-01  7.68960000e+00  1.42571778e-01  8.96964051e-02  4.56797672e-01  1.38698498e-02  1.01227989e+07 
 2.47001639e+14  3.39438728e+33  1.79811000e+01  1.90647997e-01  7.69860000e+00  1.43305009e-01  9.01763023e-02  4.54734071e-01  1.40411842e-02  9.95158300e+06 
 2.47461143e+14  3.41368169e+33  1.79351000e+01  1.91278350e-01  7.70660000e+00  1.44008996e-01  9.06606065e-02  4.52894652e-01  1.42154151e-02  9.78403169e+06 
 2.47920646e+14  3.43297609e+33  1.78901000e+01  1.91908612e-01  7.71560000e+00  1.44743620e-01  9.11391657e-02  4.50838164e-01  1.43885729e-02  9.62005650e+06 
 2.48380150e+14  3.45227050e+33  1.78451000e+01  1.92538756e-01  7.72360000e+00  1.45448830e-01  9.16220475e-02  4.49006241e-01  1.45646129e-02  9.45957113e+06 
 2.48839654e+14  3.47156491e+33  1.78011000e+01  1.93168759e-01  7.73160000e+00  1.46154588e-01  9.20989386e-02  4.47178129e-01  1.47394450e-02  9.30249104e+06 
 2.49299158e+14  3.49085932e+33  1.77581000e+01  1.93798597e-01  7.74060000e+00  1.46891120e-01  9.25696352e-02  4.45132268e-01  1.49129403e-02  9.14873393e+06 
 2.49758661e+14  3.51015373e+33  1.77151000e+01  1.94428246e-01  7.74860000e+00  1.47597990e-01  9.30444375e-02  4.43311478e-01  1.50892259e-02  8.99821959e+06 
 2.50218165e+14  3.52944814e+33  1.76731000e+01  1.95057684e-01  7.75660000e+00  1.48305356e-01  9.35127931e-02  4.41494399e-01  1.52640298e-02  8.85086959e+06 
 2.50677669e+14  3.54874255e+33  1.76311000e+01  1.95686887e-01  7.76460000e+00  1.49013203e-01  9.39851573e-02  4.39680989e-01  1.54415957e-02  8.70660771e+06 
 2.51137173e+14  3.56803696e+33  1.75901000e+01  1.96315834e-01  7.77260000e+00  1.49721516e-01  9.44508177e-02  4.37871198e-01  1.56175287e-02  8.56535940e+06 
 2.51596676e+14  3.58733136e+33  1.75491000e+01  1.96944502e-01  7.78060000e+00  1.50430278e-01  9.49203850e-02  4.36064991e-01  1.57961907e-02  8.42705227e+06 
 2.52056180e+14  3.60662577e+33  1.75091000e+01  1.97572870e-01  7.78860000e+00  1.51139475e-01  9.53829891e-02  4.34262320e-01  1.59730629e-02  8.29161549e+06 
 2.52515684e+14  3.62592018e+33  1.74691000e+01  1.98200917e-01  7.79660000e+00  1.51849094e-01  9.58493954e-02  4.32463146e-01  1.61526265e-02  8.15898029e+06 
 2.52975188e+14  3.64521459e+33  1.74301000e+01  1.98828624e-01  7.80460000e+00  1.52559118e-01  9.63085760e-02  4.30667419e-01  1.63302380e-02  8.02907943e+06 
 2.53434691e+14  3.66450900e+33  1.73911000e+01  1.99455969e-01  7.81260000e+00  1.53269535e-01  9.67714508e-02  4.28875102e-01  1.65104989e-02  7.90184765e+06 
 2.53894195e+14  3.68380341e+33  1.73531000e+01  2.00082933e-01  7.82060000e+00  1.53980331e-01  9.72268352e-02  4.27086144e-01  1.66886398e-02  7.77722111e+06 
 2.54353699e+14  3.70309782e+33  1.73161000e+01  2.00709496e-01  7.82760000e+00  1.54660563e-01  9.76745198e-02  4.25523853e-01  1.68645132e-02  7.65513771e+06 
 2.54813203e+14  3.72366196e+33  1.72761000e+01  2.01376935e-01  7.83660000e+00  1.55433603e-01  9.81618933e-02  4.23518621e-01  1.70575206e-02  7.52773292e+06 
 2.55272706e+14  3.74488701e+33  1.72361000e+01  2.02065746e-01  7.84460000e+00  1.56192225e-01  9.86544838e-02  4.21741079e-01  1.72534237e-02  7.39903695e+06 
 2.55732210e+14  3.76611206e+33  1.71961000e+01  2.02754478e-01  7.85260000e+00  1.56951463e-01  9.91512344e-02  4.19967773e-01  1.74523788e-02  7.27311664e+06 
 2.56191714e+14  3.78733711e+33  1.71571000e+01  2.03443102e-01  7.86160000e+00  1.57742492e-01  9.96405607e-02  4.17974734e-01  1.76492924e-02  7.14990459e+06 
 2.56651218e+14  3.80856216e+33  1.71181000e+01  2.04131593e-01  7.86960000e+00  1.58502963e-01  1.00133942e-01  4.16209683e-01  1.78492182e-02  7.02933521e+06 
 2.57110721e+14  3.82978721e+33  1.70791000e+01  2.04819924e-01  7.87760000e+00  1.59263983e-01  1.00631405e-01  4.14448780e-01  1.80522042e-02  6.91134419e+06 
 2.57570225e+14  3.85101227e+33  1.70421000e+01  2.05508070e-01  7.88660000e+00  1.60056931e-01  1.01109243e-01  4.12467629e-01  1.82475874e-02  6.79586865e+06 
 2.58029729e+14  3.87223732e+33  1.70041000e+01  2.06196007e-01  7.89460000e+00  1.60819063e-01  1.01602833e-01  4.10714768e-01  1.84512667e-02  6.68284772e+06 
 2.58489233e+14  3.89346237e+33  1.69671000e+01  2.06883709e-01  7.90260000e+00  1.61581689e-01  1.02088380e-01  4.08965921e-01  1.86525059e-02  6.57222153e+06 
 2.58948736e+14  3.91468742e+33  1.69311000e+01  2.07571153e-01  7.91060000e+00  1.62344792e-01  1.02565659e-01  4.07221037e-01  1.88511352e-02  6.46393198e+06 
 2.59408240e+14  3.93591247e+33  1.68951000e+01  2.08258314e-01  7.91860000e+00  1.63108356e-01  1.03046643e-01  4.05480075e-01  1.90526221e-02  6.35792245e+06 
 2.59867744e+14  3.95713752e+33  1.68601000e+01  2.08945170e-01  7.92660000e+00  1.63872364e-01  1.03519072e-01  4.03742985e-01  1.92512975e-02  6.25413762e+06 
 2.60327248e+14  3.97836257e+33  1.68251000e+01  2.09631698e-01  7.93460000e+00  1.64636799e-01  1.03995082e-01  4.02009719e-01  1.94527682e-02  6.15252378e+06 
 2.60786751e+14  3.99958762e+33  1.67901000e+01  2.10317876e-01  7.94260000e+00  1.65401647e-01  1.04474692e-01  4.00280227e-01  1.96570733e-02  6.05302847e+06 
 2.61246255e+14  4.02081267e+33  1.67561000e+01  2.11003682e-01  7.95060000e+00  1.66166893e-01  1.04945394e-01  3.98554449e-01  1.98583255e-02  5.95560049e+06 
 2.61705759e+14  4.04203772e+33  1.67221000e+01  2.11689093e-01  7.95860000e+00  1.66932521e-01  1.05419568e-01  3.96832337e-01  2.00623437e-02  5.86019020e+06 
 2.62165263e+14  4.06326277e+33  1.66891000e+01  2.12374091e-01  7.96660000e+00  1.67698518e-01  1.05884542e-01  3.95113839e-01  2.02630935e-02  5.76674896e+06 
 2.62624766e+14  4.08448782e+33  1.66561000e+01  2.13058654e-01  7.97460000e+00  1.68464868e-01  1.06352859e-01  3.93398908e-01  2.04665366e-02  5.67522965e+06 
 2.63084270e+14  4.10571287e+33  1.66241000e+01  2.13742762e-01  7.98160000e+00  1.69199398e-01  1.06811682e-01  3.91913036e-01  2.06664911e-02  5.58558615e+06 
 2.63543774e+14  4.12864841e+33  1.65891000e+01  2.14481633e-01  7.99060000e+00  1.70039747e-01  1.07316557e-01  3.89987549e-01  2.08881555e-02  5.49075491e+06 
 2.64003278e+14  4.15195292e+33  1.65551000e+01  2.15232277e-01  7.99860000e+00  1.70857409e-01  1.07813180e-01  3.88293647e-01  2.11066711e-02  5.39647487e+06 
 2.64462781e+14  4.17525743e+33  1.65201000e+01  2.15982787e-01  8.00660000e+00  1.71675662e-01  1.08326690e-01  3.86604146e-01  2.13347176e-02  5.30423712e+06 
