# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.58360957e+33  1.60581000e+01  2.10835038e-01  8.41160000e+00  1.86406446e-01  1.14535990e-01  2.22682204e-01  2.45333315e-02  5.97147699e+06 
 2.30276292e+14  3.59597739e+33  1.60391000e+01  2.11372099e-01  8.41760000e+00  1.86962933e-01  1.14912712e-01  2.21977366e-01  2.47183624e-02  5.90540580e+06 
 2.30552583e+14  3.60834520e+33  1.60211000e+01  2.11908560e-01  8.42360000e+00  1.87519574e-01  1.15276283e-01  2.21270645e-01  2.48970595e-02  5.84030589e+06 
 2.30828875e+14  3.62071302e+33  1.60031000e+01  2.12444416e-01  8.42860000e+00  1.88041473e-01  1.15640976e-01  2.20835463e-01  2.50770736e-02  5.77616017e+06 
 2.31105166e+14  3.63308084e+33  1.59851000e+01  2.12979665e-01  8.43460000e+00  1.88598366e-01  1.16006794e-01  2.20124820e-01  2.52584146e-02  5.71295181e+06 
 2.31381458e+14  3.64544866e+33  1.59671000e+01  2.13514303e-01  8.44060000e+00  1.89155403e-01  1.16373742e-01  2.19412304e-01  2.54410925e-02  5.65066422e+06 
 2.31657750e+14  3.65781648e+33  1.59491000e+01  2.14048327e-01  8.44660000e+00  1.89712581e-01  1.16741824e-01  2.18697917e-01  2.56251176e-02  5.58928123e+06 
 2.31934041e+14  3.67018430e+33  1.59321000e+01  2.14581735e-01  8.45260000e+00  1.90269897e-01  1.17096342e-01  2.17981659e-01  2.58024004e-02  5.52878682e+06 
 2.32210333e+14  3.68255212e+33  1.59151000e+01  2.15114523e-01  8.45860000e+00  1.90827347e-01  1.17451878e-01  2.17263540e-01  2.59809182e-02  5.46916557e+06 
 2.32486624e+14  3.69491994e+33  1.58981000e+01  2.15646689e-01  8.46360000e+00  1.91349746e-01  1.17808437e-01  2.16816086e-01  2.61606798e-02  5.41040222e+06 
 2.32762916e+14  3.70728776e+33  1.58811000e+01  2.16178229e-01  8.46960000e+00  1.91907415e-01  1.18166020e-01  2.16094061e-01  2.63416939e-02  5.35248184e+06 
 2.33039208e+14  3.71965558e+33  1.58641000e+01  2.16709141e-01  8.47560000e+00  1.92465211e-01  1.18524630e-01  2.15370156e-01  2.65239688e-02  5.29538976e+06 
 2.33315499e+14  3.73202340e+33  1.58471000e+01  2.17239423e-01  8.48160000e+00  1.93023125e-01  1.18884275e-01  2.14644451e-01  2.67075151e-02  5.23911165e+06 
 2.33591791e+14  3.74439121e+33  1.58311000e+01  2.17769071e-01  8.48660000e+00  1.93545789e-01  1.19229889e-01  2.14188803e-01  2.68838477e-02  5.18363330e+06 
 2.33868082e+14  3.75675903e+33  1.58141000e+01  2.18298084e-01  8.49260000e+00  1.94103898e-01  1.19591546e-01  2.13459227e-01  2.70698942e-02  5.12894118e+06 
 2.34144374e+14  3.76912685e+33  1.57981000e+01  2.18826457e-01  8.49860000e+00  1.94662125e-01  1.19939056e-01  2.12727757e-01  2.72486103e-02  5.07502150e+06 
 2.34420665e+14  3.78149467e+33  1.57821000e+01  2.19354190e-01  8.50360000e+00  1.95184951e-01  1.20287492e-01  2.12265945e-01  2.74284989e-02  5.02186115e+06 
 2.34696957e+14  3.79386249e+33  1.57661000e+01  2.19881281e-01  8.50960000e+00  1.95743351e-01  1.20636855e-01  2.11530696e-01  2.76095675e-02  4.96944714e+06 
 2.34973249e+14  3.80623031e+33  1.57511000e+01  2.20407724e-01  8.51460000e+00  1.96266257e-01  1.20971782e-01  2.11064719e-01  2.77830000e-02  4.91776660e+06 
 2.35249540e+14  3.81859813e+33  1.57351000e+01  2.20933520e-01  8.52060000e+00  1.96824829e-01  1.21322945e-01  2.10325605e-01  2.79663830e-02  4.86680733e+06 
 2.35525832e+14  3.83096595e+33  1.57201000e+01  2.21458668e-01  8.52560000e+00  1.97347796e-01  1.21659564e-01  2.09855594e-01  2.81420156e-02  4.81655680e+06 
 2.35802123e+14  3.84333377e+33  1.57041000e+01  2.21983160e-01  8.53160000e+00  1.97906535e-01  1.22012537e-01  2.09112586e-01  2.83277418e-02  4.76700328e+06 
 2.36078415e+14  3.85582710e+33  1.56891000e+01  2.22512317e-01  8.53660000e+00  1.98433052e-01  1.22351919e-01  2.08647423e-01  2.85060293e-02  4.71764206e+06 
 2.36354707e+14  3.86889236e+33  1.56731000e+01  2.23065070e-01  8.54260000e+00  1.99011384e-01  1.22712642e-01  2.07950156e-01  2.86965235e-02  4.66674789e+06 
 2.36630998e+14  3.88195761e+33  1.56581000e+01  2.23617227e-01  8.54860000e+00  1.99589875e-01  1.23058617e-01  2.07250988e-01  2.88790540e-02  4.61658002e+06 
 2.36907290e+14  3.89502286e+33  1.56421000e+01  2.24168783e-01  8.55460000e+00  2.00168520e-01  1.23421228e-01  2.06549964e-01  2.90720078e-02  4.56712639e+06 
 2.37183581e+14  3.90808812e+33  1.56271000e+01  2.24719735e-01  8.55960000e+00  2.00711327e-01  1.23768978e-01  2.06117029e-01  2.92568769e-02  4.51837461e+06 
 2.37459873e+14  3.92115337e+33  1.56111000e+01  2.25270082e-01  8.56560000e+00  2.01290219e-01  1.24133495e-01  2.05412180e-01  2.94523267e-02  4.47031300e+06 
 2.37736165e+14  3.93421863e+33  1.55961000e+01  2.25819816e-01  8.57160000e+00  2.01869258e-01  1.24483032e-01  2.04705420e-01  2.96395664e-02  4.42292964e+06 
 2.38012456e+14  3.94728388e+33  1.55811000e+01  2.26368938e-01  8.57660000e+00  2.02412305e-01  1.24833438e-01  2.04266295e-01  2.98279685e-02  4.37621315e+06 
 2.38288748e+14  3.96034913e+33  1.55661000e+01  2.26917442e-01  8.58260000e+00  2.02991578e-01  1.25184715e-01  2.03555668e-01  3.00175405e-02  4.33015226e+06 
 2.38565039e+14  3.97341439e+33  1.55521000e+01  2.27465328e-01  8.58860000e+00  2.03570976e-01  1.25520722e-01  2.02843261e-01  3.01985792e-02  4.28473580e+06 
 2.38841331e+14  3.98647964e+33  1.55371000e+01  2.28012591e-01  8.59360000e+00  2.04114237e-01  1.25873689e-01  2.02397986e-01  3.03904426e-02  4.23995316e+06 
 2.39117623e+14  3.99954489e+33  1.55231000e+01  2.28559228e-01  8.59960000e+00  2.04693852e-01  1.26211271e-01  2.01681713e-01  3.05736472e-02  4.19579345e+06 
 2.39393914e+14  4.01261015e+33  1.55081000e+01  2.29105238e-01  8.60460000e+00  2.05237220e-01  1.26565939e-01  2.01232351e-01  3.07678306e-02  4.15224645e+06 
 2.39670206e+14  4.02567540e+33  1.54941000e+01  2.29650617e-01  8.61060000e+00  2.05817031e-01  1.26905107e-01  2.00512303e-01  3.09532289e-02  4.10930171e+06 
 2.39946497e+14  4.03874066e+33  1.54801000e+01  2.30195362e-01  8.61560000e+00  2.06360502e-01  1.27245042e-01  2.00058799e-01  3.11396988e-02  4.06694926e+06 
 2.40222789e+14  4.05180591e+33  1.54661000e+01  2.30739471e-01  8.62160000e+00  2.06940498e-01  1.27585746e-01  1.99335001e-01  3.13272479e-02  4.02517926e+06 
 2.40499080e+14  4.06487116e+33  1.54531000e+01  2.31282941e-01  8.62660000e+00  2.07484060e-01  1.27910663e-01  1.98877386e-01  3.15056834e-02  3.98398191e+06 
 2.40775372e+14  4.07793642e+33  1.54391000e+01  2.31825771e-01  8.63260000e+00  2.08064229e-01  1.28252853e-01  1.98149869e-01  3.16953376e-02  3.94334795e+06 
 2.41051664e+14  4.09100167e+33  1.54251000e+01  2.32367955e-01  8.63760000e+00  2.08607871e-01  1.28595816e-01  1.97688184e-01  3.18860867e-02  3.90326794e+06 
 2.41327955e+14  4.10406692e+33  1.54121000e+01  2.32909496e-01  8.64260000e+00  2.09151510e-01  1.28922827e-01  1.97224528e-01  3.20675350e-02  3.86373265e+06 
 2.41604247e+14  4.11713218e+33  1.53991000e+01  2.33450386e-01  8.64860000e+00  2.09731912e-01  1.29250497e-01  1.96491227e-01  3.22499505e-02  3.82473320e+06 
 2.41880538e+14  4.13019743e+33  1.53851000e+01  2.33990628e-01  8.65360000e+00  2.10275620e-01  1.29595682e-01  1.96023516e-01  3.24438852e-02  3.78626093e+06 
 2.42156830e+14  4.14326269e+33  1.53721000e+01  2.34530215e-01  8.65960000e+00  2.10856161e-01  1.29924741e-01  1.95286599e-01  3.26283248e-02  3.74830696e+06 
 2.42433122e+14  4.15632794e+33  1.53591000e+01  2.35069147e-01  8.66460000e+00  2.11399933e-01  1.30254468e-01  1.94814789e-01  3.28137493e-02  3.71086294e+06 
 2.42709413e+14  4.16939319e+33  1.53471000e+01  2.35607425e-01  8.66960000e+00  2.11943693e-01  1.30567849e-01  1.94341012e-01  3.29894157e-02  3.67392047e+06 
 2.42985705e+14  4.18245845e+33  1.53341000e+01  2.36145041e-01  8.67460000e+00  2.12487460e-01  1.30898859e-01  1.93865086e-01  3.31767560e-02  3.63747157e+06 
 2.43261996e+14  4.19552370e+33  1.53211000e+01  2.36681996e-01  8.68060000e+00  2.13068228e-01  1.31230543e-01  1.93120678e-01  3.33650981e-02  3.60150816e+06 
 2.43538288e+14  4.20858895e+33  1.53091000e+01  2.37218290e-01  8.68560000e+00  2.13612026e-01  1.31545715e-01  1.92640851e-01  3.35434885e-02  3.56602226e+06 
 2.43814580e+14  4.22165421e+33  1.52961000e+01  2.37753917e-01  8.69060000e+00  2.14155819e-01  1.31878692e-01  1.92158945e-01  3.37337762e-02  3.53100638e+06 
