# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.96420125e+33  2.62061000e+01  1.43075752e-01  8.82960000e+00  1.23545938e-01  4.49745789e-02  2.96373806e-01  2.78582152e-03  5.45385334e+07 
 2.35512504e+14  2.02555212e+33  2.58141000e+01  1.44111478e-01  8.83160000e+00  1.24824857e-01  4.60739357e-02  2.91474679e-01  2.94434607e-03  5.15643213e+07 
 2.41025007e+14  2.08647996e+33  2.54551000e+01  1.45086509e-01  8.83260000e+00  1.26029609e-01  4.71070576e-02  2.86920682e-01  3.09813923e-03  4.89111861e+07 
 2.46537511e+14  2.14687718e+33  2.51241000e+01  1.46002853e-01  8.83260000e+00  1.27161161e-01  4.80826737e-02  2.82708172e-01  3.24776005e-03  4.65369778e+07 
 2.52050014e+14  2.20691299e+33  2.48191000e+01  1.46866185e-01  8.83160000e+00  1.28225189e-01  4.89991070e-02  2.78816484e-01  3.39210796e-03  4.43975625e+07 
 2.57562518e+14  2.26614619e+33  2.45371000e+01  1.47673309e-01  8.83060000e+00  1.29232455e-01  4.98625950e-02  2.75073057e-01  3.53161802e-03  4.24764516e+07 
 2.63075022e+14  2.32471099e+33  2.42771000e+01  1.48429432e-01  8.82860000e+00  1.30172092e-01  5.06699185e-02  2.71654875e-01  3.66503014e-03  4.07408261e+07 
 2.68587525e+14  2.38276945e+33  2.40361000e+01  1.49139141e-01  8.82660000e+00  1.31064948e-01  5.14269617e-02  2.68351298e-01  3.79275506e-03  3.91638166e+07 
 2.74100029e+14  2.43954968e+33  2.38141000e+01  1.49796038e-01  8.82360000e+00  1.31885296e-01  5.21320688e-02  2.65398876e-01  3.91406799e-03  3.77455688e+07 
 2.79612532e+14  2.83086370e+33  2.23271000e+01  1.54645045e-01  8.80060000e+00  1.37911146e-01  5.72512371e-02  2.44439332e-01  4.86259076e-03  2.89679424e+07 
 2.85125036e+14  3.17516192e+33  2.10461000e+01  1.60047274e-01  8.78860000e+00  1.44351901e-01  6.26155560e-02  2.24803096e-01  5.98587202e-03  2.23518024e+07 
 2.90637540e+14  3.55265949e+33  1.97841000e+01  1.66986827e-01  8.78760000e+00  1.52335637e-01  6.90956101e-02  2.03852919e-01  7.52081300e-03  1.66726102e+07 
 2.96150043e+14  3.96473473e+33  1.86031000e+01  1.75590137e-01  8.80060000e+00  1.61950694e-01  7.66326869e-02  1.82524572e-01  9.55231486e-03  1.21088534e+07 
 3.01662547e+14  4.41782274e+33  1.75311000e+01  1.86052121e-01  8.82860000e+00  1.73363484e-01  8.52046489e-02  1.61606244e-01  1.21842017e-02  8.59484734e+06 
 3.07175050e+14  4.90933225e+33  1.65971000e+01  1.98330607e-01  8.87260000e+00  1.86520279e-01  9.45933444e-02  1.41855531e-01  1.54563785e-02  6.02404862e+06 
 3.12687554e+14  5.44697763e+33  1.57951000e+01  2.12604561e-01  8.93160000e+00  2.01586081e-01  1.04725409e-01  1.23714306e-01  1.94351648e-02  4.17739578e+06 
 3.18200058e+14  6.03028963e+33  1.51211000e+01  2.28828694e-01  9.00460000e+00  2.18513827e-01  1.15409326e-01  1.07507046e-01  2.41191354e-02  2.88598877e+06 
 3.23712561e+14  6.66246062e+33  1.45631000e+01  2.47039167e-01  9.09060000e+00  2.37348191e-01  1.26478718e-01  9.32416129e-02  2.94740625e-02  1.99273005e+06 
 3.29225065e+14  7.34964813e+33  1.41051000e+01  2.67351179e-01  9.18860000e+00  2.58211940e-01  1.37832888e-01  8.08092320e-02  3.54586907e-02  1.37645306e+06 
 3.34737568e+14  8.08857437e+33  1.37351000e+01  2.89595169e-01  9.29660000e+00  2.80943399e-01  1.49276970e-01  7.01330870e-02  4.19478885e-02  9.56050979e+05 
 3.40250072e+14  8.89220651e+33  1.34371000e+01  3.14081209e-01  9.41460000e+00  3.05865454e-01  1.60819456e-01  6.09100391e-02  4.88912609e-02  6.65453318e+05 
 3.45762576e+14  9.75400469e+33  1.32041000e+01  3.40521672e-01  9.54060000e+00  3.32706017e-01  1.72210265e-01  5.29824029e-02  5.60571807e-02  4.66680732e+05 
 3.51275079e+14  1.06842916e+34  1.30221000e+01  3.69137012e-01  9.67260000e+00  3.61661841e-01  1.83521118e-01  4.63143935e-02  6.34029273e-02  3.28961339e+05 
 3.56787583e+14  1.16827904e+34  1.28851000e+01  3.99811931e-01  9.80960000e+00  3.92633457e-01  1.94609009e-01  4.06766695e-02  7.07259719e-02  2.33511096e+05 
 3.62300086e+14  1.27536215e+34  1.27861000e+01  4.32561170e-01  9.95160000e+00  4.25659237e-01  2.05429800e-01  3.58124080e-02  7.78850508e-02  1.66907294e+05 
 3.67812590e+14  1.38662670e+34  1.27201000e+01  4.66333103e-01  1.00936000e+01  4.59690095e-01  2.15669128e-01  3.16928995e-02  8.45760185e-02  1.21279393e+05 
 3.73325094e+14  1.45499250e+34  1.26931000e+01  4.86787902e-01  1.01766000e+01  4.80276014e-01  2.21486905e-01  2.96127691e-02  8.83069538e-02  1.01088770e+05 
 3.78837597e+14  1.49904877e+34  1.26801000e+01  4.99479623e-01  1.02266000e+01  4.93036879e-01  2.24956797e-01  2.84684720e-02  9.04925494e-02  9.06161738e+04 
 3.84350101e+14  1.54369054e+34  1.26701000e+01  5.11895177e-01  1.02746000e+01  5.05519298e-01  2.28229289e-01  2.74137211e-02  9.25094913e-02  8.16111874e+04 
 3.89862604e+14  1.58903302e+34  1.26611000e+01  5.24082408e-01  1.03216000e+01  5.17789913e-01  2.31379247e-01  2.63615701e-02  9.44240716e-02  7.37921880e+04 
 3.95375108e+14  1.63495353e+34  1.26541000e+01  5.36021542e-01  1.03656000e+01  5.29786549e-01  2.34361166e-01  2.54780261e-02  9.61887926e-02  6.69788899e+04 
 4.00887612e+14  1.68156087e+34  1.26491000e+01  5.47752569e-01  1.04086000e+01  5.41589789e-01  2.37180299e-01  2.45919390e-02  9.78016025e-02  6.09944565e+04 
 4.06400115e+14  1.72875790e+34  1.26441000e+01  5.59261100e-01  1.04496000e+01  5.53163616e-01  2.39906489e-01  2.37842649e-02  9.93338590e-02  5.57227108e+04 
 4.11912619e+14  1.77662210e+34  1.26401000e+01  5.70575472e-01  1.04886000e+01  5.64533303e-01  2.42508142e-01  2.30587988e-02  1.00748344e-01  5.10497190e+04 
 4.17425122e+14  1.82508945e+34  1.26371000e+01  5.81688765e-01  1.05256000e+01  5.75691449e-01  2.44983411e-01  2.24115677e-02  1.02042595e-01  4.68957630e+04 
 4.22937626e+14  1.87420627e+34  1.26351000e+01  5.92619485e-01  1.05616000e+01  5.86677214e-01  2.47336267e-01  2.17632218e-02  1.03217623e-01  4.31853076e+04 
 4.28450130e+14  1.92393765e+34  1.26321000e+01  6.03366784e-01  1.05966000e+01  5.97489127e-01  2.49645879e-01  2.11152617e-02  1.04355563e-01  3.98616039e+04 
 4.33962633e+14  1.97430278e+34  1.26301000e+01  6.13941581e-01  1.06296000e+01  6.08113296e-01  2.51837356e-01  2.05510663e-02  1.05376632e-01  3.68732484e+04 
 4.39475137e+14  2.02529178e+34  1.26291000e+01  6.24347755e-01  1.06616000e+01  6.18575654e-01  2.53912035e-01  1.99914862e-02  1.06281493e-01  3.41786783e+04 
 4.44987640e+14  2.07690081e+34  1.26271000e+01  6.34590401e-01  1.06916000e+01  6.28856582e-01  2.55952712e-01  1.95170319e-02  1.07156149e-01  3.17421313e+04 
 4.50500144e+14  2.12914098e+34  1.26251000e+01  6.44676954e-01  1.07216000e+01  6.39009395e-01  2.57922617e-01  1.89738590e-02  1.07961321e-01  2.95324839e+04 
 4.56012648e+14  2.18198943e+34  1.26241000e+01  6.54608169e-01  1.07496000e+01  6.48986624e-01  2.59782426e-01  1.85186985e-02  1.08655980e-01  2.75243480e+04 
