# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.71124575e+33  3.17101000e+01  1.31619093e-01  9.67860000e+00  1.16838199e-01  3.38355265e-02  2.68895389e-01  1.50221674e-03  1.15796270e+08 
 2.31027485e+14  1.72883901e+33  3.15381000e+01  1.31778507e-01  9.67160000e+00  1.17072854e-01  3.40721273e-02  2.67534059e-01  1.52504671e-03  1.13711986e+08 
 2.32054971e+14  1.74717803e+33  3.13611000e+01  1.31946902e-01  9.66460000e+00  1.17321998e-01  3.43187068e-02  2.66077617e-01  1.54906585e-03  1.11583175e+08 
 2.33082456e+14  1.76752242e+33  3.11671000e+01  1.32136734e-01  9.65760000e+00  1.17609483e-01  3.45927133e-02  2.64340208e-01  1.57602894e-03  1.09268932e+08 
 2.34109942e+14  1.78786681e+33  3.09731000e+01  1.32329919e-01  9.65060000e+00  1.17898864e-01  3.48727011e-02  2.62617007e-01  1.60395729e-03  1.07002595e+08 
 2.35137427e+14  1.80821119e+33  3.07821000e+01  1.32526452e-01  9.64260000e+00  1.18177799e-01  3.51520378e-02  2.61085863e-01  1.63210382e-03  1.04783892e+08 
 2.36164913e+14  1.82855558e+33  3.05921000e+01  1.32726285e-01  9.63560000e+00  1.18470744e-01  3.54352608e-02  2.59394312e-01  1.66099890e-03  1.02612313e+08 
 2.37192398e+14  1.84889997e+33  3.04041000e+01  1.32929400e-01  9.62860000e+00  1.18765293e-01  3.57201409e-02  2.57720912e-01  1.69039522e-03  1.00487531e+08 
 2.38219884e+14  1.86924435e+33  3.02181000e+01  1.33135720e-01  9.62160000e+00  1.19061388e-01  3.60066587e-02  2.56065573e-01  1.72029751e-03  9.84089870e+07 
 2.39247369e+14  1.88958874e+33  3.00331000e+01  1.33345208e-01  9.61460000e+00  1.19358895e-01  3.62972376e-02  2.54430164e-01  1.75100627e-03  9.63762077e+07 
 2.40274855e+14  1.90993313e+33  2.98501000e+01  1.33557771e-01  9.60760000e+00  1.19657766e-01  3.65894923e-02  2.52814225e-01  1.78224702e-03  9.43885716e+07 
 2.41302340e+14  1.93321091e+33  2.96431000e+01  1.33805003e-01  9.59960000e+00  1.20001870e-01  3.69259190e-02  2.50985956e-01  1.81864749e-03  9.21665314e+07 
 2.42329826e+14  1.95670114e+33  2.94371000e+01  1.34059186e-01  9.59260000e+00  1.20364815e-01  3.72666301e-02  2.48973310e-01  1.85597101e-03  8.99770595e+07 
 2.43357311e+14  1.98019137e+33  2.92321000e+01  1.34318046e-01  9.58460000e+00  1.20718194e-01  3.76134204e-02  2.47160146e-01  1.89450717e-03  8.78401132e+07 
 2.44384797e+14  2.00368160e+33  2.90301000e+01  1.34581513e-01  9.57760000e+00  1.21086102e-01  3.79612399e-02  2.45195271e-01  1.93364253e-03  8.57551482e+07 
 2.45412282e+14  2.02717183e+33  2.88291000e+01  1.34849500e-01  9.56960000e+00  1.21444224e-01  3.83153207e-02  2.43432151e-01  1.97405766e-03  8.37214862e+07 
 2.46439767e+14  2.05066207e+33  2.86311000e+01  1.35121913e-01  9.56260000e+00  1.21816579e-01  3.86704217e-02  2.41519492e-01  2.01510128e-03  8.17384696e+07 
 2.47467253e+14  2.07415230e+33  2.84361000e+01  1.35398647e-01  9.55560000e+00  1.22190957e-01  3.90264349e-02  2.39634273e-01  2.05676672e-03  7.98053424e+07 
 2.48494738e+14  2.09764253e+33  2.82421000e+01  1.35679595e-01  9.54760000e+00  1.22555217e-01  3.93888217e-02  2.37953196e-01  2.09978828e-03  7.79212887e+07 
 2.49522224e+14  2.12322360e+33  2.80341000e+01  1.35990361e-01  9.54060000e+00  1.22974711e-01  3.97847528e-02  2.35852875e-01  2.14741333e-03  7.59235456e+07 
 2.50549709e+14  2.15027655e+33  2.78171000e+01  1.36324979e-01  9.53260000e+00  1.23414467e-01  4.02066185e-02  2.33768303e-01  2.19888871e-03  7.38675499e+07 
 2.51577195e+14  2.17732950e+33  2.76031000e+01  1.36665704e-01  9.52460000e+00  1.23857542e-01  4.06318255e-02  2.31717234e-01  2.25153913e-03  7.18686443e+07 
 2.52604680e+14  2.20438245e+33  2.73911000e+01  1.37012413e-01  9.51660000e+00  1.24303762e-01  4.10633287e-02  2.29700958e-01  2.30580123e-03  6.99258966e+07 
 2.53632166e+14  2.23143539e+33  2.71821000e+01  1.37364963e-01  9.50960000e+00  1.24764872e-01  4.14981757e-02  2.27545285e-01  2.36129465e-03  6.80383434e+07 
 2.54659651e+14  2.25848834e+33  2.69771000e+01  1.37723207e-01  9.50260000e+00  1.25228740e-01  4.19331801e-02  2.25426854e-01  2.41758366e-03  6.62049660e+07 
 2.55687137e+14  2.28554129e+33  2.67741000e+01  1.38086993e-01  9.49460000e+00  1.25683314e-01  4.23744110e-02  2.23521621e-01  2.47555916e-03  6.44246751e+07 
 2.56714622e+14  2.31259423e+33  2.65741000e+01  1.38456143e-01  9.48760000e+00  1.26152235e-01  4.28186884e-02  2.21479427e-01  2.53479017e-03  6.26963242e+07 
 2.57742108e+14  2.34058160e+33  2.63701000e+01  1.38843556e-01  9.48060000e+00  1.26642634e-01  4.32821999e-02  2.19365769e-01  2.59751438e-03  6.09616316e+07 
 2.58769593e+14  2.37163661e+33  2.61481000e+01  1.39280494e-01  9.47260000e+00  1.27187700e-01  4.37977036e-02  2.17105375e-01  2.66833523e-03  5.90959831e+07 
 2.59797079e+14  2.40269162e+33  2.59291000e+01  1.39724970e-01  9.46560000e+00  1.27748605e-01  4.43194761e-02  2.14716734e-01  2.74122569e-03  5.72901898e+07 
 2.60824564e+14  2.43374663e+33  2.57131000e+01  1.40176798e-01  9.45760000e+00  1.28301487e-01  4.48475162e-02  2.12549906e-01  2.81623488e-03  5.55429285e+07 
 2.61852049e+14  2.46480164e+33  2.55011000e+01  1.40635773e-01  9.45060000e+00  1.28869706e-01  4.53782315e-02  2.10257935e-01  2.89284069e-03  5.38528198e+07 
 2.62879535e+14  2.49585666e+33  2.52931000e+01  1.41101664e-01  9.44360000e+00  1.29441267e-01  4.59113340e-02  2.08015082e-01  2.97102050e-03  5.22184113e+07 
 2.63907020e+14  2.52691167e+33  2.50891000e+01  1.41574257e-01  9.43660000e+00  1.30015944e-01  4.64465269e-02  2.05822293e-01  3.05074866e-03  5.06382597e+07 
 2.64934506e+14  2.55796668e+33  2.48881000e+01  1.42053322e-01  9.42960000e+00  1.30593536e-01  4.69872524e-02  2.03679849e-01  3.13261875e-03  4.91108742e+07 
 2.65961991e+14  2.58902169e+33  2.46901000e+01  1.42538631e-01  9.42260000e+00  1.31173847e-01  4.75333738e-02  2.01587905e-01  3.21665385e-03  4.76347657e+07 
 2.66989477e+14  2.62396663e+33  2.44721000e+01  1.43092391e-01  9.41560000e+00  1.31840729e-01  4.81492107e-02  1.99140436e-01  3.31296887e-03  4.60319347e+07 
 2.68016962e+14  2.65948546e+33  2.42551000e+01  1.43664031e-01  9.40860000e+00  1.32524471e-01  4.87783589e-02  1.96693193e-01  3.41308697e-03  4.44621886e+07 
 2.69044448e+14  2.69500429e+33  2.40411000e+01  1.44244264e-01  9.40160000e+00  1.33212558e-01  4.94169690e-02  1.94307271e-01  3.51658780e-03  4.29505534e+07 
 2.70071933e+14  2.73052313e+33  2.38331000e+01  1.44832796e-01  9.39460000e+00  1.33904722e-01  5.00524121e-02  1.91983071e-01  3.62127884e-03  4.14952555e+07 
 2.71099419e+14  2.76604196e+33  2.36281000e+01  1.45429332e-01  9.38860000e+00  1.34612318e-01  5.06966838e-02  1.89549897e-01  3.72934294e-03  4.00944865e+07 
 2.72126904e+14  2.80156079e+33  2.34271000e+01  1.46033590e-01  9.38160000e+00  1.35311810e-01  5.13453181e-02  1.87350754e-01  3.84003324e-03  3.87464764e+07 
 2.73154390e+14  2.83707962e+33  2.32311000e+01  1.46645241e-01  9.37560000e+00  1.36026228e-01  5.19933987e-02  1.85042661e-01  3.95246063e-03  3.74494065e+07 
 2.74181875e+14  2.87259845e+33  2.30391000e+01  1.47264008e-01  9.36960000e+00  1.36743674e-01  5.26447910e-02  1.82797278e-01  4.06737377e-03  3.62015300e+07 
 2.75209361e+14  2.89158734e+33  2.29381000e+01  1.47597560e-01  9.36660000e+00  1.37130694e-01  5.29942329e-02  1.81587854e-01  4.12981073e-03  3.55541133e+07 
 2.76236846e+14  2.89403074e+33  2.29251000e+01  1.47640040e-01  9.36660000e+00  1.37184312e-01  5.30398320e-02  1.81370632e-01  4.13801659e-03  3.54728459e+07 
 2.77264332e+14  2.89647414e+33  2.29121000e+01  1.47681982e-01  9.36660000e+00  1.37237198e-01  5.30857212e-02  1.81157082e-01  4.14629816e-03  3.53928743e+07 
 2.78291817e+14  2.89891754e+33  2.29001000e+01  1.47723369e-01  9.36560000e+00  1.37277851e-01  5.31272312e-02  1.81115365e-01  4.15374198e-03  3.53141513e+07 
 2.79319302e+14  2.90136094e+33  2.28881000e+01  1.47764210e-01  9.36560000e+00  1.37329383e-01  5.31689887e-02  1.80906988e-01  4.16125066e-03  3.52366557e+07 
 2.80346788e+14  2.90380434e+33  2.28761000e+01  1.47804525e-01  9.36460000e+00  1.37368662e-01  5.32110023e-02  1.80871243e-01  4.16882667e-03  3.51603746e+07 
 2.81374273e+14  2.90624773e+33  2.28641000e+01  1.47844302e-01  9.36460000e+00  1.37418846e-01  5.32532490e-02  1.80668559e-01  4.17646465e-03  3.50852676e+07 
 2.82401759e+14  2.90869113e+33  2.28521000e+01  1.47883547e-01  9.36460000e+00  1.37468381e-01  5.32957265e-02  1.80468328e-01  4.18416429e-03  3.50113128e+07 
 2.83429244e+14  2.91113453e+33  2.28411000e+01  1.47922278e-01  9.36360000e+00  1.37505698e-01  5.33337717e-02  1.80440289e-01  4.19101051e-03  3.49385017e+07 
 2.84456730e+14  2.91357793e+33  2.28291000e+01  1.47960490e-01  9.36360000e+00  1.37553934e-01  5.33767058e-02  1.80245469e-01  4.19883264e-03  3.48667995e+07 
 2.85484215e+14  2.91602133e+33  2.28181000e+01  1.47998185e-01  9.36360000e+00  1.37601552e-01  5.34151730e-02  1.80052800e-01  4.20579199e-03  3.47961838e+07 
 2.86511701e+14  2.92151314e+33  2.27931000e+01  1.48081666e-01  9.36260000e+00  1.37695473e-01  5.35035013e-02  1.79795431e-01  4.22184794e-03  3.46402880e+07 
 2.87539186e+14  2.92987330e+33  2.27561000e+01  1.48207543e-01  9.36160000e+00  1.37843078e-01  5.36338144e-02  1.79320324e-01  4.24555647e-03  3.44065102e+07 
 2.88566672e+14  2.93823347e+33  2.27191000e+01  1.48332125e-01  9.35960000e+00  1.37977577e-01  5.37651080e-02  1.79020422e-01  4.26955812e-03  3.41767559e+07 
 2.89594157e+14  2.94659039e+33  2.26831000e+01  1.48455392e-01  9.35860000e+00  1.38122026e-01  5.38926605e-02  1.78558020e-01  4.29291539e-03  3.39510232e+07 
 2.90621643e+14  2.95493077e+33  2.26471000e+01  1.48577171e-01  9.35760000e+00  1.38264648e-01  5.40212608e-02  1.78103103e-01  4.31658057e-03  3.37295698e+07 
 2.91649128e+14  2.96327115e+33  2.26121000e+01  1.48697719e-01  9.35660000e+00  1.38405772e-01  5.41460355e-02  1.77654332e-01  4.33957537e-03  3.35118628e+07 
