# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.89060144e+33  3.35151000e+01  1.09506386e-01  5.46460000e+00  5.43066923e-02  2.14408127e-02  7.69880386e-01  5.72478711e-04  1.45993355e+08 
 2.32149427e+14  1.92474492e+33  3.27621000e+01  1.10332979e-01  5.49260000e+00  5.53897839e-02  2.23332364e-02  7.63767362e-01  6.17416991e-04  1.35356433e+08 
 2.34298853e+14  1.95909433e+33  3.20541000e+01  1.11157752e-01  5.51960000e+00  5.64600714e-02  2.32288105e-02  7.57787957e-01  6.65233794e-04  1.25968469e+08 
 2.36448280e+14  1.99344374e+33  3.13931000e+01  1.11975506e-01  5.54660000e+00  5.75360553e-02  2.41184465e-02  7.51781444e-01  7.15421766e-04  1.17675588e+08 
 2.38597706e+14  2.02779315e+33  3.07741000e+01  1.12786039e-01  5.57260000e+00  5.85951808e-02  2.50024591e-02  7.45921993e-01  7.68001820e-04  1.10301322e+08 
 2.40747133e+14  2.06232262e+33  3.01901000e+01  1.13593407e-01  5.59760000e+00  5.96392113e-02  2.58853001e-02  7.40208399e-01  8.23251706e-04  1.03671207e+08 
 2.42896559e+14  2.09698304e+33  2.96381000e+01  1.14396409e-01  5.62260000e+00  6.06895975e-02  2.67668447e-02  7.34465479e-01  8.81211252e-04  9.76873327e+07 
 2.45045986e+14  2.13164346e+33  2.91191000e+01  1.15191859e-01  5.64660000e+00  6.17213920e-02  2.76402401e-02  7.28880640e-01  9.41375228e-04  9.22809276e+07 
 2.47195413e+14  2.16630388e+33  2.86301000e+01  1.15979647e-01  5.66960000e+00  6.27338795e-02  2.85054795e-02  7.23459104e-01  1.00370668e-03  8.73736736e+07 
 2.49344839e+14  2.20103506e+33  2.81671000e+01  1.16761278e-01  5.69260000e+00  6.37507268e-02  2.93652272e-02  7.18013879e-01  1.06838310e-03  8.28918554e+07 
 2.51494266e+14  2.23581472e+33  2.77281000e+01  1.17536206e-01  5.71460000e+00  6.47479999e-02  3.02192097e-02  7.12735893e-01  1.13536812e-03  7.87856824e+07 
 2.53643692e+14  2.27059438e+33  2.73121000e+01  1.18303282e-01  5.73560000e+00  6.57243778e-02  3.10654226e-02  7.07631680e-01  1.20446104e-03  7.50157807e+07 
 2.55793119e+14  2.30537404e+33  2.69181000e+01  1.19062459e-01  5.75660000e+00  6.67031285e-02  3.19018780e-02  7.02509692e-01  1.27541944e-03  7.15433351e+07 
 2.57942546e+14  2.34009411e+33  2.65451000e+01  1.19812412e-01  5.77660000e+00  6.76592747e-02  3.27268862e-02  6.97568425e-01  1.34802409e-03  6.83406033e+07 
 2.60091972e+14  2.37477534e+33  2.61901000e+01  1.20553547e-01  5.79660000e+00  6.86167157e-02  3.35438898e-02  6.92611517e-01  1.42255087e-03  6.53765520e+07 
 2.62241399e+14  2.40945657e+33  2.58521000e+01  1.21286694e-01  5.81560000e+00  6.95515224e-02  3.43519603e-02  6.87838723e-01  1.49883427e-03  6.26232126e+07 
 2.64390825e+14  2.44413780e+33  2.55301000e+01  1.22011855e-01  5.83360000e+00  7.04631467e-02  3.51504920e-02  6.83254443e-01  1.57674426e-03  6.00595491e+07 
 2.66540252e+14  2.47861106e+33  2.52241000e+01  1.22724722e-01  5.85160000e+00  7.13729165e-02  3.59367106e-02  6.78662515e-01  1.65595331e-03  5.76812387e+07 
 2.68689678e+14  2.51295415e+33  2.49341000e+01  1.23426876e-01  5.86960000e+00  7.22817556e-02  3.67071333e-02  6.74059657e-01  1.73593135e-03  5.54652183e+07 
 2.70839105e+14  2.54729724e+33  2.46561000e+01  1.24121030e-01  5.88660000e+00  7.31663942e-02  3.74702297e-02  6.69650545e-01  1.81753817e-03  5.33884082e+07 
 2.72988532e+14  2.58164033e+33  2.43901000e+01  1.24807230e-01  5.90260000e+00  7.40263529e-02  3.82236411e-02  6.65439245e-01  1.90042909e-03  5.14386114e+07 
 2.75137958e+14  2.63313152e+33  2.40091000e+01  1.25827257e-01  5.92760000e+00  7.53452212e-02  3.93446754e-02  6.58884248e-01  2.02810485e-03  4.87152063e+07 
 2.77287385e+14  2.68051244e+33  2.36751000e+01  1.26765550e-01  5.94860000e+00  7.65168052e-02  4.03703497e-02  6.53249819e-01  2.14942829e-03  4.63814401e+07 
 2.79436811e+14  2.72739439e+33  2.33601000e+01  1.27689959e-01  5.96960000e+00  7.76867505e-02  4.13767767e-02  6.47608274e-01  2.27271574e-03  4.42286066e+07 
 2.81586238e+14  2.77473893e+33  2.30551000e+01  1.28619533e-01  5.99060000e+00  7.88678150e-02  4.23898979e-02  6.41937410e-01  2.40116706e-03  4.21979314e+07 
 2.83735664e+14  2.82262409e+33  2.27611000e+01  1.29555681e-01  6.01160000e+00  8.00608345e-02  4.34039116e-02  6.36236652e-01  2.53403806e-03  4.02777715e+07 
