# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.53285418e+33  1.98991000e+01  1.43216858e-01  7.49060000e+00  1.20085307e-01  6.18025499e-02  3.14894386e-01  5.78943660e-03  2.84708970e+07 
 2.30301399e+14  2.54056653e+33  1.98591000e+01  1.43482315e-01  7.49460000e+00  1.20375377e-01  6.20700252e-02  3.14052711e-01  5.84855908e-03  2.82113061e+07 
 2.30602798e+14  2.54827887e+33  1.98201000e+01  1.43747414e-01  7.49860000e+00  1.20665404e-01  6.23328848e-02  3.13211278e-01  5.90694615e-03  2.79550580e+07 
 2.30904197e+14  2.55599122e+33  1.97821000e+01  1.44012152e-01  7.50260000e+00  1.20955387e-01  6.25910233e-02  3.12370054e-01  5.96455456e-03  2.77020983e+07 
 2.31205597e+14  2.56370356e+33  1.97441000e+01  1.44276527e-01  7.50660000e+00  1.21245325e-01  6.28507030e-02  3.11529031e-01  6.02286579e-03  2.74523718e+07 
 2.31506996e+14  2.57141591e+33  1.97061000e+01  1.44540540e-01  7.50960000e+00  1.21510173e-01  6.31119341e-02  3.10962087e-01  6.08188902e-03  2.72058263e+07 
 2.31808395e+14  2.57912825e+33  1.96681000e+01  1.44804188e-01  7.51360000e+00  1.21799997e-01  6.33747281e-02  3.10121369e-01  6.14163363e-03  2.69624097e+07 
 2.32109794e+14  2.58684059e+33  1.96311000e+01  1.45067472e-01  7.51760000e+00  1.22089773e-01  6.36326121e-02  3.09280810e-01  6.20052983e-03  2.67220724e+07 
 2.32411193e+14  2.59455294e+33  1.95941000e+01  1.45330392e-01  7.52160000e+00  1.22379498e-01  6.38920035e-02  3.08440443e-01  6.26012991e-03  2.64847637e+07 
 2.32712592e+14  2.60226528e+33  1.95581000e+01  1.45592944e-01  7.52460000e+00  1.22644029e-01  6.41463507e-02  3.07874035e-01  6.31882716e-03  2.62504360e+07 
 2.33013991e+14  2.60997763e+33  1.95211000e+01  1.45855129e-01  7.52860000e+00  1.22933632e-01  6.44087459e-02  3.07033867e-01  6.37984308e-03  2.60190402e+07 
 2.33315391e+14  2.61768997e+33  1.94861000e+01  1.46116946e-01  7.53260000e+00  1.23223182e-01  6.46594024e-02  3.06193804e-01  6.43828509e-03  2.57905310e+07 
 2.33616790e+14  2.62540232e+33  1.94501000e+01  1.46378395e-01  7.53560000e+00  1.23487457e-01  6.49181277e-02  3.05627681e-01  6.49906344e-03  2.55648614e+07 
 2.33918189e+14  2.63311466e+33  1.94151000e+01  1.46639473e-01  7.53960000e+00  1.23776878e-01  6.51716163e-02  3.04787792e-01  6.55886345e-03  2.53419870e+07 
