# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.91451590e+33  1.93501000e+01  1.92442464e-01  9.09560000e+00  1.73675794e-01  8.46364804e-02  2.08825048e-01  1.20888855e-02  1.17995697e+07 
 2.39773551e+14  3.15757129e+33  1.87421000e+01  1.99980327e-01  9.15460000e+00  1.81797953e-01  9.02738395e-02  1.95611318e-01  1.40273606e-02  9.63161752e+06 
 2.49547103e+14  3.40811926e+33  1.82211000e+01  2.07326123e-01  9.20660000e+00  1.89673476e-01  9.55546945e-02  1.83983680e-01  1.59804389e-02  7.95719328e+06 
 2.59320654e+14  3.66593060e+33  1.77681000e+01  2.14482610e-01  9.25360000e+00  1.97335759e-01  1.00516087e-01  1.73487023e-01  1.79339732e-02  6.64491483e+06 
 2.69094205e+14  3.93093416e+33  1.73711000e+01  2.21456719e-01  9.29560000e+00  2.04783042e-01  1.05168589e-01  1.64054977e-01  1.98667109e-02  5.60256173e+06 
 2.78867757e+14  4.28162703e+33  1.69251000e+01  2.30213447e-01  9.34360000e+00  2.14111160e-01  1.10760126e-01  1.53176619e-01  2.23131540e-02  4.55126493e+06 
 2.88641308e+14  4.79618343e+33  1.63581000e+01  2.43249262e-01  9.40960000e+00  2.27920761e-01  1.18646312e-01  1.38910644e-01  2.59865329e-02  3.39408999e+06 
 2.98414860e+14  5.31254431e+33  1.58851000e+01  2.56415807e-01  9.47260000e+00  2.41777856e-01  1.26111417e-01  1.26513950e-01  2.96897213e-02  2.57276607e+06 
 3.08188411e+14  5.86419918e+33  1.54651000e+01  2.70484463e-01  9.53760000e+00  2.56512347e-01  1.33607508e-01  1.15000392e-01  3.36122534e-02  1.95037471e+06 
 3.17961962e+14  6.45254191e+33  1.50951000e+01  2.85421027e-01  9.60260000e+00  2.72046072e-01  1.41069746e-01  1.04686551e-01  3.76983265e-02  1.48129174e+06 
 3.27735514e+14  7.07892809e+33  1.47701000e+01  3.01187533e-01  9.66960000e+00  2.88390289e-01  1.48462000e-01  9.51862986e-02  4.19018080e-02  1.12858263e+06 
 3.37509065e+14  7.74374906e+33  1.44861000e+01  3.17721564e-01  9.73760000e+00  3.05470033e-01  1.55731561e-01  8.65654561e-02  4.61604568e-02  8.63698988e+05 
 3.47282616e+14  8.44797661e+33  1.42371000e+01  3.34976513e-01  9.80460000e+00  3.23202346e-01  1.62879042e-01  7.90032714e-02  5.04460865e-02  6.64403252e+05 
 3.57056168e+14  9.19255859e+33  1.40201000e+01  3.52906724e-01  9.87260000e+00  3.41596931e-01  1.69854582e-01  7.20894651e-02  5.46913235e-02  5.13975836e+05 
 3.66829719e+14  9.97944422e+33  1.38311000e+01  3.71491717e-01  9.94060000e+00  3.60618120e-01  1.76645859e-01  6.58647355e-02  5.88540879e-02  3.99836968e+05 
 3.76603271e+14  1.08088946e+34  1.36661000e+01  3.90672077e-01  1.00076000e+01  3.80192424e-01  1.83253067e-01  6.03544420e-02  6.29070209e-02  3.12916609e+05 
 3.86376822e+14  1.16815092e+34  1.35211000e+01  4.10399304e-01  1.00746000e+01  4.00303414e-01  1.89695413e-01  5.53308264e-02  6.68416646e-02  2.46401122e+05 
 3.96150373e+14  1.25981370e+34  1.33951000e+01  4.30632777e-01  1.01406000e+01  4.20893539e-01  1.95923859e-01  5.08374964e-02  7.05918264e-02  1.95216799e+05 
 4.05923925e+14  1.35607636e+34  1.32851000e+01  4.51357823e-01  1.02046000e+01  4.41927610e-01  2.01958537e-01  4.69192940e-02  7.41514753e-02  1.55563406e+05 
 4.15697476e+14  1.45695878e+34  1.31891000e+01  4.72521860e-01  1.02686000e+01  4.63409234e-01  2.07797662e-01  4.32680247e-02  7.75019583e-02  1.24694511e+05 
 4.25471027e+14  1.56249386e+34  1.31041000e+01  4.94078156e-01  1.03306000e+01  4.85246800e-01  2.13482609e-01  4.00570935e-02  8.06678282e-02  1.00537127e+05 
 4.35244579e+14  1.67276638e+34  1.30311000e+01  5.15992834e-01  1.03916000e+01  5.07435633e-01  2.18935945e-01  3.71218176e-02  8.35634961e-02  8.15214730e+04 
 4.45018130e+14  1.78802300e+34  1.29661000e+01  5.38264091e-01  1.04516000e+01  5.29975853e-01  2.24255094e-01  3.44273132e-02  8.62678626e-02  6.64488103e+04 
 4.54791682e+14  1.90816017e+34  1.29091000e+01  5.60823134e-01  1.05096000e+01  5.52777594e-01  2.29403028e-01  3.20346421e-02  8.87420790e-02  5.44563090e+04 
 4.64565233e+14  2.03324357e+34  1.28601000e+01  5.83637110e-01  1.05656000e+01  5.75809836e-01  2.34348951e-01  2.99076849e-02  9.09508815e-02  4.48624025e+04 
 4.74338784e+14  2.16349763e+34  1.28161000e+01  6.06702304e-01  1.06206000e+01  5.99096286e-01  2.39179451e-01  2.79227314e-02  9.29715398e-02  3.71380947e+04 
 4.84112336e+14  2.29889786e+34  1.27781000e+01  6.29970925e-01  1.06746000e+01  6.22592267e-01  2.43833856e-01  2.60578802e-02  9.47454230e-02  3.08926739e+04 
 4.93885887e+14  2.43943912e+34  1.27441000e+01  6.53401937e-01  1.07266000e+01  6.46231420e-01  2.48367086e-01  2.43864908e-02  9.63270179e-02  2.58202392e+04 
 5.03659438e+14  2.58533870e+34  1.27141000e+01  6.76992448e-01  1.07766000e+01  6.70010344e-01  2.52767143e-01  2.28912697e-02  9.77025105e-02  2.16761974e+04 
 5.13432990e+14  2.73659182e+34  1.26881000e+01  7.00703437e-01  1.08246000e+01  6.93891088e-01  2.57017820e-01  2.15533134e-02  9.88597023e-02  1.82767682e+04 
 5.23206541e+14  2.89315554e+34  1.26651000e+01  7.24493095e-01  1.08716000e+01  7.17861316e-01  2.61144622e-01  2.02717040e-02  9.98281845e-02  1.54772364e+04 
 5.32980093e+14  3.05529809e+34  1.26451000e+01  7.48367878e-01  1.09166000e+01  7.41898023e-01  2.65141117e-01  1.91255080e-02  1.00601575e-01  1.31585735e+04 
 5.42753644e+14  3.22292126e+34  1.26271000e+01  7.72280083e-01  1.09606000e+01  7.65983486e-01  2.69036826e-01  1.80202987e-02  1.01215169e-01  1.12320211e+04 
 5.52527195e+14  3.39602504e+34  1.26111000e+01  7.96199711e-01  1.10026000e+01  7.90059262e-01  2.72823599e-01  1.70296712e-02  1.01666710e-01  9.62502614e+03 
 5.62300747e+14  3.57491944e+34  1.25971000e+01  8.20139558e-01  1.10426000e+01  8.14136239e-01  2.76499167e-01  1.61482108e-02  1.01954659e-01  8.27731613e+03 
 5.72074298e+14  3.75935638e+34  1.25841000e+01  8.44038191e-01  1.10816000e+01  8.38183825e-01  2.80096605e-01  1.52892904e-02  1.02119948e-01  7.14462235e+03 
 5.81847849e+14  3.94955966e+34  1.25731000e+01  8.67898762e-01  1.11186000e+01  8.62174211e-01  2.83569779e-01  1.45273164e-02  1.02122784e-01  6.18810294e+03 
 5.91621401e+14  4.14553628e+34  1.25631000e+01  8.91696604e-01  1.11546000e+01  8.86112200e-01  2.86958273e-01  1.37837254e-02  1.02050647e-01  5.38000477e+03 
 6.01394952e+14  4.34721416e+34  1.25531000e+01  9.15399990e-01  1.11886000e+01  9.09936401e-01  2.90303401e-01  1.31268889e-02  1.01811786e-01  4.68885563e+03 
 6.11168504e+14  4.55489076e+34  1.25451000e+01  9.39021254e-01  1.12216000e+01  9.33687219e-01  2.93513791e-01  1.24855158e-02  1.01507544e-01  4.10260994e+03 
 6.20942055e+14  4.75601620e+34  1.25371000e+01  9.61165465e-01  1.12506000e+01  9.55926341e-01  2.96516862e-01  1.19732072e-02  1.01086651e-01  3.62457299e+03 
 6.30715606e+14  4.93755963e+34  1.25311000e+01  9.80442489e-01  1.12756000e+01  9.75305938e-01  2.99055603e-01  1.15031209e-02  1.00706435e-01  3.26182728e+03 
 6.40489158e+14  5.12266895e+34  1.25251000e+01  9.99396599e-01  1.12986000e+01  9.94339862e-01  3.01521855e-01  1.11046511e-02  1.00231297e-01  2.94298741e+03 
 6.50262709e+14  5.31147977e+34  1.25191000e+01  1.01804454e+00  1.13206000e+01  1.01307480e+00  3.03915917e-01  1.07099477e-02  9.97061088e-02  2.66269733e+03 
 6.60036260e+14  5.50389675e+34  1.25131000e+01  1.03638032e+00  1.13416000e+01  1.03150436e+00  3.06236831e-01  1.03193197e-02  9.91328355e-02  2.41554263e+03 
 6.69809812e+14  5.69997673e+34  1.25071000e+01  1.05441348e+00  1.13616000e+01  1.04963689e+00  3.08486089e-01  9.93444538e-03  9.85135208e-02  2.19681041e+03 
 6.79583363e+14  5.89968401e+34  1.25011000e+01  1.07214480e+00  1.13796000e+01  1.06744115e+00  3.10664619e-01  9.61892469e-03  9.78509755e-02  2.00266109e+03 
 6.89356915e+14  6.10302987e+34  1.24941000e+01  1.08957965e+00  1.13966000e+01  1.08495195e+00  3.12824199e-01  9.31089661e-03  9.71423452e-02  1.82897146e+03 
 6.99130466e+14  6.31000462e+34  1.24881000e+01  1.10672143e+00  1.14126000e+01  1.10217188e+00  3.14866660e-01  9.01115417e-03  9.64462411e-02  1.67549805e+03 
 7.08904017e+14  6.52060834e+34  1.24811000e+01  1.12357454e+00  1.14276000e+01  1.11910396e+00  3.16894349e-01  8.72174742e-03  9.56652504e-02  1.53665885e+03 
 7.18677569e+14  6.73482262e+34  1.24751000e+01  1.14014183e+00  1.14416000e+01  1.13574982e+00  3.18807781e-01  8.44413281e-03  9.49025318e-02  1.41342239e+03 
 7.28451120e+14  6.95267160e+34  1.24681000e+01  1.15642952e+00  1.14536000e+01  1.15208281e+00  3.20710943e-01  8.23894724e-03  9.41046405e-02  1.30192195e+03 
 7.38224671e+14  7.17409265e+34  1.24601000e+01  1.17243730e+00  1.14656000e+01  1.16816465e+00  3.22606287e-01  7.98879943e-03  9.32743921e-02  1.20085426e+03 
 7.47998223e+14  7.39917003e+34  1.24531000e+01  1.18817557e+00  1.14766000e+01  1.18397292e+00  3.24392994e-01  7.75476224e-03  9.24693644e-02  1.11058176e+03 
