# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.57702983e+33  6.33011000e+01  8.29862762e-02  5.46760000e+00  5.03955987e-02  5.80742122e-03  7.16289615e-01  1.47680121e-04  3.62172372e+09 
 2.30809656e+14  1.58925749e+33  6.17511000e+01  8.32465446e-02  5.47760000e+00  5.07723576e-02  6.03570734e-03  7.10962097e-01  1.48420867e-04  3.16559794e+09 
 2.31619313e+14  1.60150904e+33  6.02851000e+01  8.35081786e-02  5.48660000e+00  5.11322825e-02  6.26798865e-03  7.05957229e-01  1.49370108e-04  2.78123028e+09 
 2.32428969e+14  1.61381947e+33  5.88921000e+01  8.37718323e-02  5.49660000e+00  5.15114146e-02  6.50493881e-03  7.00877258e-01  1.50537207e-04  2.45475055e+09 
 2.33238626e+14  1.62616324e+33  5.75691000e+01  8.40368777e-02  5.50560000e+00  5.18737361e-02  6.74606086e-03  6.96104635e-01  1.51925541e-04  2.17669125e+09 
 2.34048282e+14  1.63855507e+33  5.63101000e+01  8.43035495e-02  5.51460000e+00  5.22372454e-02  6.99140486e-03  6.91436906e-01  1.53530572e-04  1.93849836e+09 
 2.34857938e+14  1.65098932e+33  5.51111000e+01  8.45716596e-02  5.52460000e+00  5.26198677e-02  7.24077291e-03  6.86667255e-01  1.55354074e-04  1.73365293e+09 
 2.35667595e+14  1.66346112e+33  5.39691000e+01  8.48410285e-02  5.53360000e+00  5.29855442e-02  7.49377372e-03  6.82189288e-01  1.57388244e-04  1.55681470e+09 
 2.36477251e+14  1.67598403e+33  5.28781000e+01  8.51118932e-02  5.54260000e+00  5.33524499e-02  7.75085245e-03  6.77795421e-01  1.59651442e-04  1.40336028e+09 
 2.37286908e+14  1.68853433e+33  5.18371000e+01  8.53836742e-02  5.55160000e+00  5.37201890e-02  8.01131593e-03  6.73484722e-01  1.62137262e-04  1.26993211e+09 
 2.38096564e+14  1.70114398e+33  5.08401000e+01  8.56570145e-02  5.56060000e+00  5.40892808e-02  8.27580178e-03  6.69245617e-01  1.64858794e-04  1.15318189e+09 
 2.38906220e+14  1.71377122e+33  4.98881000e+01  8.59309515e-02  5.56960000e+00  5.44590370e-02  8.54313899e-03  6.65081015e-01  1.67801317e-04  1.05099454e+09 
 2.39715877e+14  1.72646560e+33  4.89741000e+01  8.62065155e-02  5.57860000e+00  5.48302607e-02  8.81448695e-03  6.60977457e-01  1.70990172e-04  9.60884955e+08 
 2.40525533e+14  1.73916819e+33  4.81011000e+01  8.64823760e-02  5.58660000e+00  5.51835640e-02  9.08804259e-03  6.57155813e-01  1.74393926e-04  8.81529218e+08 
 2.41335190e+14  1.75194520e+33  4.72601000e+01  8.67599295e-02  5.59560000e+00  5.55568087e-02  9.36596004e-03  6.53173126e-01  1.78072749e-04  8.11041487e+08 
 2.42144846e+14  1.76472220e+33  4.64551000e+01  8.70375171e-02  5.60460000e+00  5.59304138e-02  9.64609981e-03  6.49250754e-01  1.81989817e-04  7.48600297e+08 
 2.42954502e+14  1.77757889e+33  4.56801000e+01  8.73168326e-02  5.61260000e+00  5.62870693e-02  9.92971186e-03  6.45593277e-01  1.86155814e-04  6.92772034e+08 
 2.43764159e+14  1.79043631e+33  4.49361000e+01  8.75961202e-02  5.62160000e+00  5.66626291e-02  1.02158174e-02  6.41770611e-01  1.90588777e-04  6.43010753e+08 
 2.44573815e+14  1.80336264e+33  4.42191000e+01  8.78768257e-02  5.62960000e+00  5.70209405e-02  1.05051374e-02  6.38211949e-01  1.95284907e-04  5.98294141e+08 
 2.45383472e+14  1.81629819e+33  4.35301000e+01  8.81576207e-02  5.63760000e+00  5.73796324e-02  1.07966056e-02  6.34702540e-01  2.00243631e-04  5.58182366e+08 
 2.46193128e+14  1.82929225e+33  4.28651000e+01  8.84395395e-02  5.64660000e+00  5.77583124e-02  1.10912203e-02  6.31006837e-01  2.05487557e-04  5.21964239e+08 
 2.47002784e+14  1.84230351e+33  4.22251000e+01  8.87216599e-02  5.65460000e+00  5.81187291e-02  1.13878584e-02  6.27578990e-01  2.11000406e-04  4.89279267e+08 
 2.47812441e+14  1.85536335e+33  4.16071000e+01  8.90046266e-02  5.66260000e+00  5.84801439e-02  1.16872566e-02  6.24187919e-01  2.16805216e-04  4.59634297e+08 
 2.48622097e+14  1.86844782e+33  4.10121000e+01  8.92878978e-02  5.67060000e+00  5.88421704e-02  1.19881959e-02  6.20834349e-01  2.22869531e-04  4.32729125e+08 
 2.49431753e+14  1.88157139e+33  4.04361000e+01  8.95717544e-02  5.67860000e+00  5.92050325e-02  1.22922277e-02  6.17514608e-01  2.29264106e-04  4.08221008e+08 
 2.50241410e+14  1.89472646e+33  3.98811000e+01  8.98560119e-02  5.68660000e+00  5.95686065e-02  1.25974988e-02  6.14227682e-01  2.35917171e-04  3.85858327e+08 
 2.51051066e+14  1.90791166e+33  3.93441000e+01  9.01406110e-02  5.69460000e+00  5.99328614e-02  1.29051740e-02  6.10971975e-01  2.42891158e-04  3.65406000e+08 
 2.51860723e+14  1.92113461e+33  3.88241000e+01  9.04256962e-02  5.70260000e+00  6.02979186e-02  1.32152709e-02  6.07745020e-01  2.50191278e-04  3.46647621e+08 
 2.52670379e+14  1.93437484e+33  3.83221000e+01  9.07107990e-02  5.71060000e+00  6.06634420e-02  1.35265282e-02  6.04547331e-01  2.57778008e-04  3.29431998e+08 
 2.53480035e+14  1.94764960e+33  3.78361000e+01  9.09962714e-02  5.71860000e+00  6.10297021e-02  1.38396262e-02  6.01375739e-01  2.65681631e-04  3.13576669e+08 
 2.54289692e+14  1.96093410e+33  3.73661000e+01  9.12815552e-02  5.72560000e+00  6.13769424e-02  1.41540057e-02  5.98470612e-01  2.73896060e-04  2.98970178e+08 
 2.55099348e+14  1.97425252e+33  3.69101000e+01  9.15671472e-02  5.73360000e+00  6.17442024e-02  1.44705008e-02  5.95350597e-01  2.82456291e-04  2.85461354e+08 
 2.55909005e+14  1.98757094e+33  3.64691000e+01  9.18522993e-02  5.74160000e+00  6.21116291e-02  1.47878405e-02  5.92255771e-01  2.91325427e-04  2.72974348e+08 
 2.56718661e+14  2.00088937e+33  3.60431000e+01  9.21369893e-02  5.74860000e+00  6.24597067e-02  1.51053553e-02  5.89427609e-01  3.00476433e-04  2.61408313e+08 
 2.57528317e+14  2.01420779e+33  3.56301000e+01  9.24211922e-02  5.75560000e+00  6.28078340e-02  1.54240678e-02  5.86624167e-01  3.09964812e-04  2.50673341e+08 
 2.58337974e+14  2.02752621e+33  3.52311000e+01  9.27048881e-02  5.76360000e+00  6.31756123e-02  1.57425063e-02  5.83599421e-01  3.19722781e-04  2.40690976e+08 
 2.59147630e+14  2.04084463e+33  3.48431000e+01  9.29880554e-02  5.77060000e+00  6.35238684e-02  1.60627406e-02  5.80840840e-01  3.29859211e-04  2.31390276e+08 
 2.59957287e+14  2.05416305e+33  3.44681000e+01  9.32706765e-02  5.77760000e+00  6.38721522e-02  1.63823968e-02  5.78103566e-01  3.40259121e-04  2.22709756e+08 
 2.60766943e+14  2.06748147e+33  3.41041000e+01  9.35527304e-02  5.78460000e+00  6.42204595e-02  1.67027590e-02  5.75386514e-01  3.50992107e-04  2.14593399e+08 
 2.61576599e+14  2.08079989e+33  3.37511000e+01  9.38342005e-02  5.79160000e+00  6.45687834e-02  1.70232975e-02  5.72688737e-01  3.62035258e-04  2.06991788e+08 
 2.62386256e+14  2.09411831e+33  3.34081000e+01  9.41150700e-02  5.79860000e+00  6.49171178e-02  1.73444937e-02  5.70009319e-01  3.73418181e-04  1.99860457e+08 
 2.63195912e+14  2.10753549e+33  3.30721000e+01  9.43974069e-02  5.80560000e+00  6.52670131e-02  1.76688427e-02  5.67340697e-01  3.85239504e-04  1.93111321e+08 
 2.64005569e+14  2.12100185e+33  3.27451000e+01  9.46801703e-02  5.81260000e+00  6.56176982e-02  1.79940177e-02  5.64685753e-01  3.97403406e-04  1.86739597e+08 
 2.64815225e+14  2.13446822e+33  3.24271000e+01  9.49623111e-02  5.81960000e+00  6.59683946e-02  1.83196815e-02  5.62047115e-01  4.09917041e-04  1.80737608e+08 
 2.65624881e+14  2.14793458e+33  3.21191000e+01  9.52438151e-02  5.82660000e+00  6.63190955e-02  1.86442049e-02  5.59424037e-01  4.22693007e-04  1.75075898e+08 
 2.66434538e+14  2.16140094e+33  3.18181000e+01  9.55246684e-02  5.83360000e+00  6.66697947e-02  1.89705811e-02  5.56815821e-01  4.35902736e-04  1.69727218e+08 
