# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.86108788e+33  1.89351000e+01  2.00455076e-01  8.56160000e+00  1.58555157e-01  9.37702003e-02  3.89589240e-01  1.55075641e-02  1.10755342e+07 
 2.30402968e+14  2.86906390e+33  1.89171000e+01  2.00685112e-01  8.56460000e+00  1.58834671e-01  9.39414242e-02  3.88852805e-01  1.55728401e-02  1.10060941e+07 
 2.30805936e+14  2.87703993e+33  1.89001000e+01  2.00914422e-01  8.56660000e+00  1.59083498e-01  9.41031036e-02  3.88343690e-01  1.56343170e-02  1.09373534e+07 
 2.31208904e+14  2.88501595e+33  1.88821000e+01  2.01143007e-01  8.56860000e+00  1.59331976e-01  9.42751321e-02  3.87833949e-01  1.57002492e-02  1.08693032e+07 
 2.31611871e+14  2.89299198e+33  1.88651000e+01  2.01370870e-01  8.57160000e+00  1.59610526e-01  9.44375651e-02  3.87095449e-01  1.57623445e-02  1.08019341e+07 
 2.32014839e+14  2.90096161e+33  1.88481000e+01  2.01597833e-01  8.57360000e+00  1.59858182e-01  9.46003709e-02  3.86584450e-01  1.58247489e-02  1.07352904e+07 
 2.32417807e+14  2.90892080e+33  1.88311000e+01  2.01823781e-01  8.57660000e+00  1.60135699e-01  9.47635535e-02  3.85844701e-01  1.58874681e-02  1.06693959e+07 
 2.32820775e+14  2.91687998e+33  1.88141000e+01  2.02049016e-01  8.57860000e+00  1.60382438e-01  9.49271059e-02  3.85332486e-01  1.59504930e-02  1.06041542e+07 
 2.33223743e+14  2.92483916e+33  1.87981000e+01  2.02273537e-01  8.58160000e+00  1.60659318e-01  9.50809101e-02  3.84591380e-01  1.60095653e-02  1.05395568e+07 
 2.33626711e+14  2.93279835e+33  1.87811000e+01  2.02497351e-01  8.58360000e+00  1.60905388e-01  9.52451780e-02  3.84077885e-01  1.60731853e-02  1.04755955e+07 
 2.34029678e+14  2.94075753e+33  1.87641000e+01  2.02720458e-01  8.58560000e+00  1.61151116e-01  9.54098180e-02  3.83563750e-01  1.61371151e-02  1.04122618e+07 
 2.34432646e+14  2.94871672e+33  1.87481000e+01  2.02942860e-01  8.58860000e+00  1.61427036e-01  9.55646366e-02  3.82820667e-01  1.61970367e-02  1.03495477e+07 
 2.34835614e+14  2.95667590e+33  1.87321000e+01  2.03164561e-01  8.59060000e+00  1.61672098e-01  9.57197790e-02  3.82305271e-01  1.62572313e-02  1.02874451e+07 
 2.35238582e+14  2.96463508e+33  1.87151000e+01  2.03385562e-01  8.59260000e+00  1.61916821e-01  9.58854923e-02  3.81789246e-01  1.63220600e-02  1.02259463e+07 
