# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.29924368e+33  3.39669910e+03  1.90428629e-01  2.82860000e+00  9.52925831e-03  1.07900113e-01  9.99999874e-01 -8.66115612e-05 -1.48514351e+16 
 2.34657805e+14  1.35383973e+33  1.27896910e+03  9.34561498e-02  2.93760000e+00  1.07688478e-02  1.75193266e-02  9.99986422e-01 -3.38361791e-04 -1.54244800e+16 
 2.39315609e+14  1.40890208e+33  5.35590100e+02  8.41208996e-02  3.03860000e+00  1.20213866e-02  4.55888558e-03  9.99605943e-01  1.03042295e-03  1.02382815e+15 
 2.43973414e+14  1.46406331e+33  3.19579100e+02  8.24408973e-02  3.13160000e+00  1.32701226e-02  2.74316064e-03  9.97803542e-01  5.27084605e-04  4.38154227e+13 
 2.48631218e+14  1.52023408e+33  2.23663100e+02  8.20561136e-02  3.21960000e+00  1.45397482e-02  2.32018386e-03  9.93842727e-01  3.45392497e-04  4.93512616e+12 
 2.53289023e+14  1.57669739e+33  1.71346100e+02  8.21393000e-02  3.30160000e+00  1.58058595e-02  2.31789926e-03  9.88029148e-01  2.62633854e-04  9.85224536e+11 
 2.57946828e+14  1.63405512e+33  1.38506100e+02  8.24537879e-02  3.37860000e+00  1.70740631e-02  2.51672571e-03  9.81020006e-01  2.17900841e-04  2.76769820e+11 
 2.62604632e+14  1.69184794e+33  1.16287100e+02  8.29023908e-02  3.45160000e+00  1.83469882e-02  2.84154778e-03  9.73447010e-01  1.91479832e-04  9.87447107e+10 
 2.67262437e+14  1.75025627e+33  1.00283100e+02  8.34387732e-02  3.52060000e+00  1.96190673e-02  3.25963125e-03  9.65656332e-01  1.74988642e-04  4.16751760e+10 
 2.71920241e+14  1.80913711e+33  8.82751000e+01  8.40344682e-02  3.58560000e+00  2.08829524e-02  3.75130848e-03  9.57852211e-01  1.64648429e-04  1.99999901e+10 
 2.76578046e+14  1.86835872e+33  7.89741000e+01  8.46710893e-02  3.64760000e+00  2.21465594e-02  4.30296864e-03  9.50079731e-01  1.58496380e-04  1.06251585e+10 
 2.81235851e+14  1.91221517e+33  7.33991000e+01  8.51563970e-02  3.69060000e+00  2.30615965e-02  4.73963053e-03  9.44456757e-01  1.56004231e-04  7.04809975e+09 
 2.85893655e+14  1.96370438e+33  6.79691000e+01  8.57278755e-02  3.73760000e+00  2.41019290e-02  5.27114313e-03  9.38076888e-01  1.54885706e-04  4.60815429e+09 
 2.90551460e+14  2.01668477e+33  6.32951000e+01  8.63199859e-02  3.78360000e+00  2.51577902e-02  5.83963696e-03  9.31630974e-01  1.55407117e-04  3.12847675e+09 
 2.95209264e+14  2.07017471e+33  5.93021000e+01  8.69190052e-02  3.82760000e+00  2.62055027e-02  6.43179957e-03  9.25249562e-01  1.57450625e-04  2.21049430e+09 
 2.99867069e+14  2.12427443e+33  5.58461000e+01  8.75237912e-02  3.86960000e+00  2.72433334e-02  7.04584467e-03  9.18933409e-01  1.60935198e-04  1.61641571e+09 
 3.04524873e+14  2.17888051e+33  5.28321000e+01  8.81314330e-02  3.91060000e+00  2.82856017e-02  7.67788187e-03  9.12601997e-01  1.65802669e-04  1.21897586e+09 
 3.09182678e+14  2.23400890e+33  5.01791000e+01  8.87407200e-02  3.94860000e+00  2.92960109e-02  8.32609122e-03  9.06449633e-01  1.72051758e-04  9.44554651e+08 
 3.13840483e+14  2.28971803e+33  4.78251000e+01  8.93512067e-02  3.98660000e+00  3.03255176e-02  8.98864056e-03  9.00187675e-01  1.79667140e-04  7.49573730e+08 
 3.18498287e+14  2.34592218e+33  4.57251000e+01  8.99610782e-02  4.02160000e+00  3.13186623e-02  9.66282573e-03  8.94135056e-01  1.88658236e-04  6.07776927e+08 
 3.23156092e+14  2.40266346e+33  4.38381000e+01  9.05700938e-02  4.05560000e+00  3.23098047e-02  1.03478381e-02  8.88091466e-01  1.99066842e-04  5.02229054e+08 
 3.27813896e+14  2.45995251e+33  4.21331000e+01  9.11778071e-02  4.08860000e+00  3.32979357e-02  1.10422719e-02  8.82059653e-01  2.10916721e-04  4.22037215e+08 
 3.32471701e+14  2.51772868e+33  4.05871000e+01  9.17831228e-02  4.12060000e+00  3.42815943e-02  1.17437282e-02  8.76046332e-01  2.24205251e-04  3.60031182e+08 
 3.37129506e+14  2.57605594e+33  3.91771000e+01  9.23863418e-02  4.15160000e+00  3.52601522e-02  1.24519176e-02  8.70054620e-01  2.38979168e-04  3.11208174e+08 
 3.41787310e+14  2.63489987e+33  3.78861000e+01  9.29868185e-02  4.18060000e+00  3.62126444e-02  1.31656778e-02  8.64225363e-01  2.55271444e-04  2.72184366e+08 
 3.46445115e+14  2.69422345e+33  3.67011000e+01  9.35839434e-02  4.20960000e+00  3.71769984e-02  1.38829682e-02  8.58304516e-01  2.73064477e-04  2.40559374e+08 
 3.51102919e+14  2.75411125e+33  3.56071000e+01  9.41783778e-02  4.23660000e+00  3.81131019e-02  1.46046570e-02  8.52567273e-01  2.92440086e-04  2.14551856e+08 
 3.55760724e+14  2.81448635e+33  3.45951000e+01  9.47692088e-02  4.26360000e+00  3.90597544e-02  1.53290933e-02  8.46744685e-01  3.13397357e-04  1.92930276e+08 
 3.60418529e+14  2.87534230e+33  3.36571000e+01  9.53562647e-02  4.28860000e+00  3.99752496e-02  1.60546449e-02  8.41132245e-01  3.35905926e-04  1.74752485e+08 
 3.65076333e+14  2.93675826e+33  3.27841000e+01  9.59402230e-02  4.31360000e+00  4.09004796e-02  1.67816003e-02  8.35440230e-01  3.60006719e-04  1.59291168e+08 
 3.69734138e+14  2.99864205e+33  3.19701000e+01  9.65201352e-02  4.33760000e+00  4.18134727e-02  1.75089075e-02  8.29825592e-01  3.85706313e-04  1.46034508e+08 
 3.74391942e+14  3.06101972e+33  3.12091000e+01  9.70962136e-02  4.36060000e+00  4.27135565e-02  1.82361403e-02  8.24296019e-01  4.13009761e-04  1.34562314e+08 
 3.79049747e+14  3.12392949e+33  3.04951000e+01  9.76687741e-02  4.38360000e+00  4.36218544e-02  1.89638715e-02  8.18694139e-01  4.41973633e-04  1.24547888e+08 
 3.83707552e+14  3.18730058e+33  2.98251000e+01  9.82371617e-02  4.40460000e+00  4.44939819e-02  1.96901045e-02  8.13356212e-01  4.72524731e-04  1.15750649e+08 
 3.88365356e+14  3.25117782e+33  2.91951000e+01  9.88017790e-02  4.42560000e+00  4.53730282e-02  2.04143404e-02  8.07956716e-01  5.04643081e-04  1.07963938e+08 
 3.93023161e+14  3.31556073e+33  2.86001000e+01  9.93626234e-02  4.44660000e+00  4.62588783e-02  2.11383861e-02  8.02493840e-01  5.38457983e-04  1.01028222e+08 
 3.97680965e+14  3.38039876e+33  2.80391000e+01  9.99192727e-02  4.46660000e+00  4.71285747e-02  2.18590564e-02  7.97145730e-01  5.73793127e-04  9.48195192e+07 
 4.02338770e+14  3.44575447e+33  2.75081000e+01  1.00472288e-01  4.48560000e+00  4.79818119e-02  2.25777760e-02  7.91919139e-01  6.10736615e-04  8.92264970e+07 
 4.06996575e+14  3.51159079e+33  2.70051000e+01  1.01021380e-01  4.50360000e+00  4.88176693e-02  2.32936690e-02  7.86823335e-01  6.49243376e-04  8.41663266e+07 
 4.11654379e+14  3.57787634e+33  2.65271000e+01  1.01566324e-01  4.52160000e+00  4.96583543e-02  2.40080000e-02  7.81679760e-01  6.89411329e-04  7.95695691e+07 
 4.16312184e+14  3.64469038e+33  2.60741000e+01  1.02107806e-01  4.53960000e+00  5.05042815e-02  2.47168532e-02  7.76485264e-01  7.30948988e-04  7.53715363e+07 
 4.20969988e+14  3.71196130e+33  2.56421000e+01  1.02645281e-01  4.55660000e+00  5.13314685e-02  2.54242698e-02  7.71434373e-01  7.74156594e-04  7.15270313e+07 
 4.25627793e+14  3.77968116e+33  2.52311000e+01  1.03178739e-01  4.57360000e+00  5.21628443e-02  2.61270374e-02  7.66338962e-01  8.18791696e-04  6.79941666e+07 
 4.30285598e+14  3.84792892e+33  2.48381000e+01  1.03708845e-01  4.58960000e+00  5.29750583e-02  2.68280394e-02  7.61395443e-01  8.65060472e-04  6.47332966e+07 
 4.34943402e+14  3.91661643e+33  2.44631000e+01  1.04234952e-01  4.60460000e+00  5.37669724e-02  2.75246001e-02  7.56613761e-01  9.12757360e-04  6.17183537e+07 
 4.39601207e+14  3.98576354e+33  2.41051000e+01  1.04757269e-01  4.62060000e+00  5.45863200e-02  2.82160034e-02  7.51591947e-01  9.61802903e-04  5.89221122e+07 
 4.44259011e+14  4.05541590e+33  2.37621000e+01  1.05276191e-01  4.63460000e+00  5.53610640e-02  2.89041150e-02  7.46941754e-01  1.01233253e-03  5.63202852e+07 
