# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  4.06342872e+33  1.53091000e+01  2.57156708e-01  9.25760000e+00  2.39293453e-01  1.44753350e-01  1.34268240e-01  4.20419324e-02  2.98545179e+06 
 2.40044970e+14  4.47920502e+33  1.50291000e+01  2.74878870e-01  9.41060000e+00  2.57374942e-01  1.53968362e-01  1.23592750e-01  4.80625791e-02  2.23014726e+06 
 2.50089940e+14  4.89923472e+33  1.48081000e+01  2.91680524e-01  9.54360000e+00  2.74479985e-01  1.62028571e-01  1.14894574e-01  5.35563334e-02  1.71529474e+06 
 2.60134910e+14  5.32044167e+33  1.46301000e+01  3.07483132e-01  9.66060000e+00  2.90618706e-01  1.69069605e-01  1.07282051e-01  5.84916364e-02  1.35454097e+06 
 2.70179879e+14  5.73889994e+33  1.44861000e+01  3.22198536e-01  9.76160000e+00  3.05632143e-01  1.75158510e-01  1.00947014e-01  6.28240269e-02  1.09605848e+06 
 2.80224849e+14  6.03897016e+33  1.43961000e+01  3.32169482e-01  9.82560000e+00  3.15786068e-01  1.79095512e-01  9.70788213e-02  6.56499868e-02  9.53297925e+05 
 2.90269819e+14  6.04230511e+33  1.43961000e+01  3.32266854e-01  9.82560000e+00  3.15856436e-01  1.79111920e-01  9.72013390e-02  6.56575811e-02  9.52012021e+05 
 3.00314789e+14  6.04564007e+33  1.43951000e+01  3.32351623e-01  9.82660000e+00  3.15965229e-01  1.79150884e-01  9.70453561e-02  6.56867960e-02  9.50891292e+05 
 3.10359759e+14  6.08233002e+33  1.43881000e+01  3.33136313e-01  9.83160000e+00  3.16778214e-01  1.79445733e-01  9.66774555e-02  6.58962507e-02  9.40451599e+05 
 3.20404729e+14  6.14073961e+33  1.43771000e+01  3.34252241e-01  9.83760000e+00  3.17899027e-01  1.79869614e-01  9.63567470e-02  6.61969666e-02  9.25531697e+05 
 3.30449698e+14  6.19790995e+33  1.43671000e+01  3.35203997e-01  9.84260000e+00  3.18867164e-01  1.80224374e-01  9.60232393e-02  6.64457502e-02  9.12715069e+05 
 3.40494668e+14  6.25390338e+33  1.43581000e+01  3.36014460e-01  9.84660000e+00  3.19696076e-01  1.80517363e-01  9.57211148e-02  6.66476862e-02  9.01671803e+05 
 3.50539638e+14  6.30877739e+33  1.43501000e+01  3.36702570e-01  9.85060000e+00  3.20444893e-01  1.80754139e-01  9.52242304e-02  6.68064835e-02  8.92132735e+05 
 3.60584608e+14  6.36258514e+33  1.43431000e+01  3.37284437e-01  9.85260000e+00  3.21028390e-01  1.80939297e-01  9.50818864e-02  6.69251935e-02  8.83876600e+05 
 3.70629578e+14  6.41536859e+33  1.43361000e+01  3.37773675e-01  9.85460000e+00  3.21550205e-01  1.81101970e-01  9.47971837e-02  6.70297766e-02  8.76722729e+05 
 3.80674548e+14  6.46717372e+33  1.43301000e+01  3.38182032e-01  9.85560000e+00  3.21970076e-01  1.81220252e-01  9.46505817e-02  6.70991410e-02  8.70520089e+05 
 3.90719517e+14  6.51805133e+33  1.43241000e+01  3.38519743e-01  9.85560000e+00  3.22294438e-01  1.81322295e-01  9.46594018e-02  6.71586210e-02  8.65140932e+05 
 4.00764487e+14  6.56804095e+33  1.43181000e+01  3.38795518e-01  9.85660000e+00  3.22624101e-01  1.81410586e-01  9.43188705e-02  6.72099232e-02  8.60479357e+05 
 4.10809457e+14  6.61717949e+33  1.43131000e+01  3.39016954e-01  9.85660000e+00  3.22868574e-01  1.81461916e-01  9.41614835e-02  6.72310274e-02  8.56445176e+05 
 4.20854427e+14  6.66550150e+33  1.43081000e+01  3.39190582e-01  9.85560000e+00  3.23032029e-01  1.81503444e-01  9.41980521e-02  6.72466392e-02  8.52962370e+05 
 4.30899397e+14  6.71303934e+33  1.43041000e+01  3.39322202e-01  9.85460000e+00  3.23165824e-01  1.81511403e-01  9.41785653e-02  6.72343484e-02  8.49964696e+05 
 4.40944367e+14  6.75982338e+33  1.42991000e+01  3.39416881e-01  9.85360000e+00  3.23273221e-01  1.81537944e-01  9.41114388e-02  6.72421079e-02  8.47395248e+05 
 4.50989336e+14  6.80587252e+33  1.42961000e+01  3.39478908e-01  9.85260000e+00  3.23356972e-01  1.81508083e-01  9.40037307e-02  6.72001959e-02  8.45206493e+05 
 4.61034306e+14  6.85122239e+33  1.42921000e+01  3.39512220e-01  9.85160000e+00  3.23419646e-01  1.81499029e-01  9.38617715e-02  6.71798250e-02  8.43355006e+05 
 4.71079276e+14  6.89589993e+33  1.42881000e+01  3.39520247e-01  9.84960000e+00  3.23415898e-01  1.81486294e-01  9.39505400e-02  6.71580816e-02  8.41803396e+05 
 4.81124246e+14  6.93992897e+33  1.42851000e+01  3.39505957e-01  9.84860000e+00  3.23442862e-01  1.81445237e-01  9.37556352e-02  6.71119717e-02  8.40519523e+05 
 4.91169216e+14  6.98333201e+33  1.42821000e+01  3.39471947e-01  9.84660000e+00  3.23407105e-01  1.81401921e-01  9.38001739e-02  6.70654298e-02  8.39475417e+05 
 5.01214186e+14  7.02613035e+33  1.42791000e+01  3.39420683e-01  9.84460000e+00  3.23357843e-01  1.81356971e-01  9.38284599e-02  6.70188575e-02  8.38644804e+05 
 5.11259156e+14  7.06834414e+33  1.42761000e+01  3.39354151e-01  9.84260000e+00  3.23296413e-01  1.81310864e-01  9.38434715e-02  6.69725528e-02  8.38006358e+05 
 5.21304125e+14  7.10998913e+33  1.42741000e+01  3.39274233e-01  9.84060000e+00  3.23224078e-01  1.81238662e-01  9.38480447e-02  6.69033620e-02  8.37540096e+05 
 5.31349095e+14  7.15108162e+33  1.42711000e+01  3.39182519e-01  9.83860000e+00  3.23141918e-01  1.81191530e-01  9.38445311e-02  6.68584022e-02  8.37229093e+05 
 5.41394065e+14  7.19164461e+33  1.42691000e+01  3.39080578e-01  9.83660000e+00  3.23051009e-01  1.81119029e-01  9.38351529e-02  6.67910161e-02  8.37056481e+05 
 5.51439035e+14  7.23169443e+33  1.42671000e+01  3.38969585e-01  9.83460000e+00  3.22952174e-01  1.81046800e-01  9.38215366e-02  6.67247800e-02  8.37009517e+05 
 5.61484005e+14  7.27124666e+33  1.42641000e+01  3.38850723e-01  9.83260000e+00  3.22846233e-01  1.81000474e-01  9.38053424e-02  6.66832069e-02  8.37075535e+05 
 5.71528975e+14  7.31031611e+33  1.42621000e+01  3.38725121e-01  9.83060000e+00  3.22733972e-01  1.80929530e-01  9.37881197e-02  6.66196698e-02  8.37242392e+05 
 5.81573944e+14  7.34891692e+33  1.42611000e+01  3.38593634e-01  9.82860000e+00  3.22616003e-01  1.80834142e-01  9.37709675e-02  6.65343021e-02  8.37500676e+05 
 5.91618914e+14  7.38706255e+33  1.42591000e+01  3.38456911e-01  9.82560000e+00  3.22445454e-01  1.80765144e-01  9.40146147e-02  6.64738221e-02  8.37843045e+05 
 6.01663884e+14  7.42475877e+33  1.42571000e+01  3.38316074e-01  9.82360000e+00  3.22317822e-01  1.80697433e-01  9.40008309e-02  6.64150418e-02  8.38257890e+05 
 6.11708854e+14  7.46202542e+33  1.42561000e+01  3.38171451e-01  9.82160000e+00  3.22186016e-01  1.80605652e-01  9.39896918e-02  6.63346419e-02  8.38740723e+05 
 6.21753824e+14  7.49887427e+33  1.42541000e+01  3.38023755e-01  9.81960000e+00  3.22050548e-01  1.80540624e-01  9.39821369e-02  6.62792463e-02  8.39283792e+05 
 6.31798794e+14  7.53531655e+33  1.42531000e+01  3.37873479e-01  9.81760000e+00  3.21911792e-01  1.80451739e-01  9.39786702e-02  6.62023518e-02  8.39881351e+05 
 6.41843763e+14  7.57136305e+33  1.42511000e+01  3.37721212e-01  9.81560000e+00  3.21770178e-01  1.80389754e-01  9.39800532e-02  6.61504793e-02  8.40526898e+05 
 6.51888733e+14  7.60702408e+33  1.42501000e+01  3.37567147e-01  9.81360000e+00  3.21625891e-01  1.80304002e-01  9.39862689e-02  6.60771439e-02  8.41217574e+05 
 6.61933703e+14  7.64230955e+33  1.42491000e+01  3.37411893e-01  9.81160000e+00  3.21479368e-01  1.80219925e-01  9.39981413e-02  6.60056330e-02  8.41946741e+05 
 6.71978673e+14  7.67722472e+33  1.42481000e+01  3.37255685e-01  9.80960000e+00  3.21330807e-01  1.80137523e-01  9.40158169e-02  6.59359231e-02  8.42711364e+05 
 6.82023643e+14  7.71178147e+33  1.42461000e+01  3.37098901e-01  9.80760000e+00  3.21180503e-01  1.80082122e-01  9.40397012e-02  6.58911417e-02  8.43506962e+05 
 6.92068613e+14  7.74599038e+33  1.42451000e+01  3.36941704e-01  9.80560000e+00  3.21028611e-01  1.80003123e-01  9.40697717e-02  6.58249779e-02  8.44331082e+05 
 7.02113582e+14  7.77985984e+33  1.42441000e+01  3.36784427e-01  9.80360000e+00  3.20875390e-01  1.79925858e-01  9.41063974e-02  6.57605830e-02  8.45179782e+05 
 7.12158552e+14  7.81339797e+33  1.42431000e+01  3.36627175e-01  9.80160000e+00  3.20720954e-01  1.79850292e-01  9.41495123e-02  6.56979099e-02  8.46051288e+05 
