# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.24323831e+33  1.51992710e+03  1.01091170e-01  2.65860000e+00  8.16665904e-03  2.43358187e-02  9.99996000e-01 -1.66453761e-04 -1.21453398e+16 
 2.30744617e+14  1.25439851e+33  1.26715510e+03  9.62066008e-02  2.68360000e+00  8.41320077e-03  1.74751928e-02  9.99991162e-01 -1.29955901e-03 -4.89202774e+16 
 2.31489234e+14  1.26555872e+33  1.06705410e+03  9.29369668e-02  2.70860000e+00  8.66437969e-03  1.29557390e-02  9.99981748e-01  1.60894220e-03  3.04858667e+16 
 2.32233851e+14  1.27689171e+33  9.07756100e+02  9.06522878e-02  2.73360000e+00  8.92081693e-03  9.92305043e-03  9.99964610e-01  6.69647418e-04  6.40275102e+15 
 2.32978468e+14  1.28829081e+33  7.81876100e+02  8.90216839e-02  2.75760000e+00  9.17324858e-03  7.87063056e-03  9.99935931e-01  8.79836037e-03  4.36697587e+16 
 2.33723085e+14  1.29979492e+33  6.81148100e+02  8.78178942e-02  2.78260000e+00  9.43959254e-03  6.44094515e-03  9.99890467e-01  2.39850282e-03  6.39442159e+15 
 2.34467703e+14  1.31143583e+33  5.99411100e+02  8.69035460e-02  2.80660000e+00  9.70194976e-03  5.41687006e-03  9.99822350e-01  1.33699716e-03  1.98214435e+15 
 2.35212320e+14  1.32311221e+33  5.32835100e+02  8.61998909e-02  2.83060000e+00  9.96894526e-03  4.67206710e-03  9.99725426e-01  1.15523420e-03  9.90076990e+14 
 2.35956937e+14  1.33499779e+33  4.77142100e+02  8.56410399e-02  2.85460000e+00  1.02412614e-02  4.11122812e-03  9.99590907e-01  9.73718094e-04  4.96398714e+14 
 2.36701554e+14  1.34688336e+33  4.30852100e+02  8.51994526e-02  2.87860000e+00  1.05181626e-02  3.68944948e-03  9.99413262e-01  7.92126662e-04  2.48782633e+14 
 2.37446171e+14  1.35898067e+33  3.91274100e+02  8.48411570e-02  2.90160000e+00  1.07905782e-02  3.36247759e-03  9.99183095e-01  7.03648646e-04  1.39410932e+14 
 2.38190788e+14  1.37111375e+33  3.57613100e+02  8.45533912e-02  2.92460000e+00  1.10674700e-02  3.11073547e-03  9.98895106e-01  6.36724826e-04  8.18336846e+13 
 2.38935405e+14  1.38338840e+33  3.28473100e+02  8.43199797e-02  2.94860000e+00  1.13595109e-02  2.91446137e-03  9.98538064e-01  5.66161182e-04  4.82341964e+13 
 2.39680022e+14  1.39577179e+33  3.03120100e+02  8.41318807e-02  2.97160000e+00  1.16463189e-02  2.76215775e-03  9.98110121e-01  5.08676466e-04  2.93278830e+13 
 2.40424639e+14  1.40822488e+33  2.80967100e+02  8.39820431e-02  2.99460000e+00  1.19378385e-02  2.64535420e-03  9.97605577e-01  4.63646374e-04  1.84544205e+13 
 2.41169256e+14  1.42086132e+33  2.61309100e+02  8.38634869e-02  3.01760000e+00  1.22345766e-02  2.55659022e-03  9.97015833e-01  4.24650272e-04  1.18442585e+13 
