# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.03974596e+33  2.74131000e+01  1.13126540e-01  6.51960000e+00  8.23678503e-02  2.99117871e-02  5.00330099e-01  1.10158255e-03  8.74084967e+07 
 2.32131982e+14  2.07492954e+33  2.69061000e+01  1.14127286e-01  6.54060000e+00  8.35300012e-02  3.10095493e-02  4.94220173e-01  1.19046599e-03  8.23363647e+07 
 2.34263965e+14  2.11011313e+33  2.64311000e+01  1.15115654e-01  6.56160000e+00  8.46901784e-02  3.20969561e-02  4.88150109e-01  1.28308233e-03  7.77547932e+07 
 2.36395947e+14  2.14529672e+33  2.59861000e+01  1.16091657e-01  6.58060000e+00  8.58025055e-02  3.31711678e-02  4.82634583e-01  1.37907065e-03  7.35961953e+07 
 2.38527929e+14  2.18023748e+33  2.55711000e+01  1.17048695e-01  6.59960000e+00  8.69076282e-02  3.42247301e-02  4.77153810e-01  1.47761075e-03  6.98300900e+07 
 2.40659912e+14  2.21435132e+33  2.51901000e+01  1.17970693e-01  6.61760000e+00  8.79709730e-02  3.52388233e-02  4.71971633e-01  1.57660996e-03  6.64617011e+07 
 2.42791894e+14  2.24846516e+33  2.48311000e+01  1.18880228e-01  6.63560000e+00  8.90311799e-02  3.62378991e-02  4.66809429e-01  1.67816590e-03  6.33628828e+07 
 2.44923876e+14  2.28257900e+33  2.44911000e+01  1.19777399e-01  6.65260000e+00  9.00648647e-02  3.72253799e-02  4.61927703e-01  1.78254856e-03  6.05029885e+07 
 2.47055859e+14  2.31639401e+33  2.41731000e+01  1.20654609e-01  6.66860000e+00  9.10661693e-02  3.81871726e-02  4.57328600e-01  1.88801591e-03  5.78783569e+07 
 2.49187841e+14  2.34907254e+33  2.38811000e+01  1.21490194e-01  6.68360000e+00  9.20190875e-02  3.91046065e-02  4.53018139e-01  1.99220282e-03  5.55222985e+07 
 2.51319823e+14  2.38175106e+33  2.36041000e+01  1.22313592e-01  6.69860000e+00  9.29679856e-02  4.00065844e-02  4.48715687e-01  2.09803648e-03  5.33267407e+07 
 2.53451805e+14  2.41442959e+33  2.33401000e+01  1.23124970e-01  6.71260000e+00  9.38890784e-02  4.08962680e-02  4.44686789e-01  2.20579352e-03  5.12762321e+07 
 2.55583788e+14  2.44676073e+33  2.30921000e+01  1.23916032e-01  6.72660000e+00  9.47999184e-02  4.17597494e-02  4.40664764e-01  2.31354222e-03  4.93770861e+07 
 2.57715770e+14  2.47758151e+33  2.28661000e+01  1.24658553e-01  6.73960000e+00  9.56556050e-02  4.25709964e-02  4.36925579e-01  2.41768460e-03  4.76780091e+07 
 2.59847752e+14  2.50840229e+33  2.26501000e+01  1.25389444e-01  6.75160000e+00  9.64826870e-02  4.33687663e-02  4.33456305e-01  2.52284810e-03  4.60792303e+07 
 2.61979735e+14  2.53922308e+33  2.24441000e+01  1.26108900e-01  6.76460000e+00  9.73294505e-02  4.41506155e-02  4.29715542e-01  2.62854445e-03  4.45723971e+07 
 2.64111717e+14  2.56966356e+33  2.22481000e+01  1.26808428e-01  6.77560000e+00  9.81168506e-02  4.49142899e-02  4.26516348e-01  2.73439367e-03  4.31671592e+07 
