# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.16086238e+33  1.77861000e+01  2.01690983e-01  8.78260000e+00  1.76009650e-01  9.91879607e-02  2.54881347e-01  1.76016942e-02  8.91444043e+06 
 2.30736871e+14  3.18436011e+33  1.77381000e+01  2.02531813e-01  8.79060000e+00  1.76906214e-01  9.97832915e-02  2.53411939e-01  1.78449676e-02  8.73279755e+06 
 2.31473743e+14  3.20785783e+33  1.76901000e+01  2.03369877e-01  8.79860000e+00  1.77801609e-01  1.00383489e-01  2.51943383e-01  1.80923198e-02  8.55620029e+06 
 2.32210614e+14  3.23135556e+33  1.76431000e+01  2.04205159e-01  8.80660000e+00  1.78695812e-01  1.00977150e-01  2.50475635e-01  1.83386270e-02  8.38447982e+06 
 2.32947486e+14  3.25485328e+33  1.75961000e+01  2.05037641e-01  8.81460000e+00  1.79588800e-01  1.01575569e-01  2.49008648e-01  1.85889913e-02  8.21747381e+06 
 2.33684357e+14  3.27835101e+33  1.75511000e+01  2.05867306e-01  8.82260000e+00  1.80480552e-01  1.02155500e-01  2.47542364e-01  1.88327502e-02  8.05502561e+06 
 2.34421229e+14  3.30184873e+33  1.75061000e+01  2.06694138e-01  8.83060000e+00  1.81371045e-01  1.02739880e-01  2.46076747e-01  1.90803661e-02  7.89698495e+06 
 2.35158100e+14  3.32534646e+33  1.74621000e+01  2.07518123e-01  8.83860000e+00  1.82260261e-01  1.03316908e-01  2.44611750e-01  1.93263690e-02  7.74320669e+06 
 2.35894972e+14  3.34884418e+33  1.74191000e+01  2.08339246e-01  8.84660000e+00  1.83148180e-01  1.03886333e-01  2.43147317e-01  1.95705682e-02  7.59355137e+06 
 2.36631843e+14  3.37249698e+33  1.73761000e+01  2.09162890e-01  8.85360000e+00  1.84011820e-01  1.04460312e-01  2.41911170e-01  1.98185031e-02  7.44693562e+06 
 2.37368715e+14  3.39721627e+33  1.73321000e+01  2.10020879e-01  8.86160000e+00  1.84931884e-01  1.05053312e-01  2.40465354e-01  2.00762113e-02  7.29782943e+06 
 2.38105586e+14  3.42193556e+33  1.72891000e+01  2.10876197e-01  8.86960000e+00  1.85850834e-01  1.05638592e-01  2.39020220e-01  2.03320671e-02  7.15276637e+06 
 2.38842458e+14  3.44665485e+33  1.72471000e+01  2.11728827e-01  8.87760000e+00  1.86768639e-01  1.06215902e-01  2.37575778e-01  2.05858724e-02  7.01161576e+06 
 2.39579329e+14  3.47137414e+33  1.72051000e+01  2.12578750e-01  8.88560000e+00  1.87685274e-01  1.06797403e-01  2.36132017e-01  2.08434825e-02  6.87425165e+06 
 2.40316201e+14  3.49609343e+33  1.71641000e+01  2.13425948e-01  8.89260000e+00  1.88573101e-01  1.07370617e-01  2.34913368e-01  2.10988125e-02  6.74055215e+06 
