# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.55857578e+33  4.38781000e+01  1.10931208e-01  1.95260000e+00  3.36063238e-03  1.58542445e-02  9.98494431e-01  3.76469362e-04  3.46153216e+08 
 2.32713514e+14  1.58770319e+33  4.31301000e+01  1.11263812e-01  2.04160000e+00  3.86027772e-03  1.62726680e-02  9.98101298e-01  3.89578214e-04  3.23814050e+08 
 2.35427028e+14  1.61683061e+33  4.24191000e+01  1.11592320e-01  2.12460000e+00  4.37137392e-03  1.66876003e-02  9.97662153e-01  4.03104178e-04  3.03823518e+08 
 2.38140542e+14  1.64648178e+33  4.17291000e+01  1.11922682e-01  2.20360000e+00  4.90077622e-03  1.71074789e-02  9.97169504e-01  4.17357096e-04  2.85549062e+08 
 2.40854055e+14  1.67615900e+33  4.10711000e+01  1.12249434e-01  2.27860000e+00  5.44357245e-03  1.75243504e-02  9.96625943e-01  4.32051807e-04  2.69069871e+08 
 2.43567569e+14  1.70583621e+33  4.04431000e+01  1.12572297e-01  2.34860000e+00  5.98842937e-03  1.79381093e-02  9.96042755e-01  4.47186978e-04  2.54168700e+08 
 2.46281083e+14  1.73591145e+33  3.98361000e+01  1.12895600e-01  2.41560000e+00  6.54576902e-03  1.83533489e-02  9.95408546e-01  4.62910944e-04  2.40472164e+08 
 2.48994597e+14  1.76608632e+33  3.92531000e+01  1.13216228e-01  2.47960000e+00  7.11195691e-03  1.87674170e-02  9.94726442e-01  4.79163350e-04  2.27970355e+08 
 2.51708111e+14  1.79626119e+33  3.86961000e+01  1.13533111e-01  2.53960000e+00  7.67540876e-03  1.91773066e-02  9.94011195e-01  4.95783713e-04  2.16562839e+08 
 2.54421625e+14  1.82668865e+33  3.81581000e+01  1.13848889e-01  2.59760000e+00  8.24988056e-03  1.95873264e-02  9.93245335e-01  5.12965784e-04  2.06037611e+08 
 2.57135138e+14  1.85725476e+33  3.76401000e+01  1.14162450e-01  2.65260000e+00  8.82419563e-03  1.99957814e-02  9.92444040e-01  5.30635649e-04  1.96337040e+08 
 2.59848652e+14  1.88782088e+33  3.71441000e+01  1.14472363e-01  2.70560000e+00  9.40427651e-03  2.03998069e-02  9.91599113e-01  5.48641499e-04  1.87414417e+08 
 2.62562166e+14  1.91850387e+33  3.66651000e+01  1.14779797e-01  2.75660000e+00  9.98854240e-03  2.08030155e-02  9.90712960e-01  5.67184156e-04  1.79155263e+08 
 2.65275680e+14  1.94930847e+33  3.62041000e+01  1.15084839e-01  2.80560000e+00  1.05751077e-02  2.12031213e-02  9.89788784e-01  5.86104494e-04  1.71491120e+08 
 2.67989194e+14  1.98011307e+33  3.57611000e+01  1.15386278e-01  2.85160000e+00  1.11512319e-02  2.15994045e-02  9.88848792e-01  6.05378262e-04  1.64391262e+08 
 2.70702708e+14  2.01093183e+33  3.53351000e+01  1.15684246e-01  2.89660000e+00  1.17355249e-02  2.19917566e-02  9.87862432e-01  6.24983484e-04  1.57796527e+08 
 2.73416222e+14  2.04177891e+33  3.49241000e+01  1.15978887e-01  2.93960000e+00  1.23160708e-02  2.23814451e-02  9.86850893e-01  6.44996167e-04  1.51655072e+08 
 2.76129735e+14  2.07262599e+33  3.45291000e+01  1.16269927e-01  2.98160000e+00  1.29022756e-02  2.27662130e-02  9.85797530e-01  6.65251805e-04  1.45929713e+08 
 2.78843249e+14  2.21042724e+33  3.28441000e+01  1.17614237e-01  3.15560000e+00  1.55678405e-02  2.45399540e-02  9.80620012e-01  7.65362686e-04  1.23430648e+08 
 2.81556763e+14  2.28671219e+33  3.19361000e+01  1.18434660e-01  3.24860000e+00  1.71395686e-02  2.56026493e-02  9.77269547e-01  8.30702898e-04  1.12468116e+08 
 2.84270277e+14  2.36474634e+33  3.10471000e+01  1.19314043e-01  3.33960000e+00  1.87813033e-02  2.67270760e-02  9.73548829e-01  9.04303099e-04  1.02454206e+08 
 2.86983791e+14  2.44451101e+33  3.01811000e+01  1.20253571e-01  3.42760000e+00  2.04753685e-02  2.79113586e-02  9.69488206e-01  9.86819798e-04  9.33236330e+07 
 2.89697305e+14  2.52602436e+33  2.93391000e+01  1.21254803e-01  3.51460000e+00  2.22482790e-02  2.91575999e-02  9.65008454e-01  1.07930004e-03  8.50060362e+07 
