# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.80558105e+33  1.54701000e+01  2.17546202e-01  8.27160000e+00  1.91396568e-01  1.21857230e-01  2.24313379e-01  2.82624558e-02  4.88074769e+06 
 2.31471539e+14  3.88302012e+33  1.53751000e+01  2.21147039e-01  8.31160000e+00  1.95046843e-01  1.24238445e-01  2.20405054e-01  2.95318140e-02  4.55556880e+06 
 2.32943077e+14  3.96273390e+33  1.52831000e+01  2.24831712e-01  8.35260000e+00  1.98812864e-01  1.26634284e-01  2.16308354e-01  3.08365192e-02  4.25013927e+06 
 2.34414616e+14  4.04595201e+33  1.51921000e+01  2.28658738e-01  8.39460000e+00  2.02728959e-01  1.29090684e-01  2.12155912e-01  3.22031855e-02  3.95928947e+06 
 2.35886155e+14  4.12917012e+33  1.51081000e+01  2.32465860e-01  8.43560000e+00  2.06620088e-01  1.31463842e-01  2.08188899e-01  3.35486336e-02  3.69399719e+06 
 2.37357693e+14  4.21238822e+33  1.50281000e+01  2.36252176e-01  8.47560000e+00  2.10484225e-01  1.33799146e-01  2.04406516e-01  3.48989318e-02  3.45161070e+06 
 2.38829232e+14  4.29560633e+33  1.49531000e+01  2.40016890e-01  8.51460000e+00  2.14319454e-01  1.36074015e-01  2.00807988e-01  3.62374960e-02  3.22978584e+06 
 2.40300770e+14  4.37882444e+33  1.48821000e+01  2.43759300e-01  8.55260000e+00  2.18123941e-01  1.38301501e-01  1.97392709e-01  3.75707524e-02  3.02644926e+06 
 2.41772309e+14  4.46513453e+33  1.48131000e+01  2.47617392e-01  8.59160000e+00  2.22064959e-01  1.40549470e-01  1.93849613e-01  3.89374434e-02  2.83308668e+06 
 2.43243848e+14  4.55441807e+33  1.47461000e+01  2.51587471e-01  8.63060000e+00  2.26096954e-01  1.42815526e-01  1.90469462e-01  4.03363055e-02  2.64975257e+06 
 2.44715386e+14  4.64370161e+33  1.46831000e+01  2.55536101e-01  8.66960000e+00  2.30143949e-01  1.45025501e-01  1.86967453e-01  4.17206690e-02  2.48168760e+06 
 2.46186925e+14  4.73298515e+33  1.46231000e+01  2.59462483e-01  8.70660000e+00  2.34112672e-01  1.47195169e-01  1.83947102e-01  4.30999057e-02  2.32738966e+06 
 2.47658464e+14  4.82226869e+33  1.45671000e+01  2.63365911e-01  8.74360000e+00  2.38093411e-01  1.49300819e-01  1.80806309e-01  4.44548395e-02  2.18552174e+06 
 2.49130002e+14  4.91155223e+33  1.45131000e+01  2.67245763e-01  8.77960000e+00  2.42038524e-01  1.51379914e-01  1.77846098e-01  4.58114561e-02  2.05489329e+06 
 2.50601541e+14  5.00470513e+33  1.44611000e+01  2.71269235e-01  8.81660000e+00  2.46139498e-01  1.53472022e-01  1.74802027e-01  4.71900624e-02  1.92940264e+06 
 2.52073080e+14  5.10030707e+33  1.44101000e+01  2.75376359e-01  8.85460000e+00  2.50363167e-01  1.55582126e-01  1.71552619e-01  4.85976669e-02  1.81086263e+06 
 2.53544618e+14  5.19590901e+33  1.43621000e+01  2.79460703e-01  8.89060000e+00  2.54503580e-01  1.57639214e-01  1.68777188e-01  4.99842623e-02  1.70171828e+06 
 2.55016157e+14  5.29151095e+33  1.43171000e+01  2.83521551e-01  8.92660000e+00  2.58654910e-01  1.59640168e-01  1.65885872e-01  5.13454861e-02  1.60108933e+06 
 2.56487696e+14  5.38711289e+33  1.42741000e+01  2.87558273e-01  8.96060000e+00  2.62718549e-01  1.61604564e-01  1.63465333e-01  5.26953965e-02  1.50818772e+06 
 2.57959234e+14  5.48271483e+33  1.42331000e+01  2.91570309e-01  8.99560000e+00  2.66839790e-01  1.63530400e-01  1.60639952e-01  5.40311369e-02  1.42230750e+06 
 2.59430773e+14  5.58291372e+33  1.41931000e+01  2.95749752e-01  9.03060000e+00  2.71085399e-01  1.65486473e-01  1.58051907e-01  5.53969012e-02  1.33911606e+06 
 2.60902311e+14  5.68507362e+33  1.41541000e+01  2.99987733e-01  9.06560000e+00  2.75390650e-01  1.67445140e-01  1.55498376e-01  5.67764420e-02  1.26075404e+06 
 2.62373850e+14  5.78723351e+33  1.41171000e+01  3.04201753e-01  9.09960000e+00  2.79655235e-01  1.69361329e-01  1.53120676e-01  5.81362233e-02  1.18832186e+06 
 2.63845389e+14  5.88939341e+33  1.40821000e+01  3.08391171e-01  9.13360000e+00  2.83928265e-01  1.71233095e-01  1.50632837e-01  5.94732428e-02  1.12128868e+06 
 2.65316927e+14  5.99155330e+33  1.40491000e+01  3.12555420e-01  9.16660000e+00  2.88157864e-01  1.73058519e-01  1.48322551e-01  6.07844809e-02  1.05917675e+06 
 2.66788466e+14  6.09371320e+33  1.40181000e+01  3.16693995e-01  9.19960000e+00  2.92394044e-01  1.74835714e-01  1.45906075e-01  6.20669221e-02  1.00155595e+06 
