# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.02315898e+33  1.73891000e+01  1.76660941e-01  7.49660000e+00  1.34988254e-01  9.02986218e-02  4.16422836e-01  1.41583835e-02  1.24240983e+07 
 2.30953365e+14  3.05396584e+33  1.73111000e+01  1.77843492e-01  7.51360000e+00  1.36243220e-01  9.12726649e-02  4.13434296e-01  1.45169673e-02  1.20469668e+07 
 2.31906731e+14  3.08477269e+33  1.72351000e+01  1.79020735e-01  7.53060000e+00  1.37500244e-01  9.22382864e-02  4.10430784e-01  1.48772972e-02  1.16854321e+07 
 2.32860096e+14  3.11557954e+33  1.71621000e+01  1.80192629e-01  7.54760000e+00  1.38759272e-01  9.31838599e-02  4.07412175e-01  1.52344928e-02  1.13387039e+07 
 2.33813462e+14  3.14638640e+33  1.70901000e+01  1.81359138e-01  7.56460000e+00  1.40020247e-01  9.41301809e-02  4.04378406e-01  1.55968489e-02  1.10060389e+07 
 2.34766827e+14  3.17831724e+33  1.70181000e+01  1.82562810e-01  7.58160000e+00  1.41307586e-01  9.50939759e-02  4.01390502e-01  1.59703990e-02  1.06752472e+07 
 2.35720193e+14  3.21033189e+33  1.69481000e+01  1.83764496e-01  7.59760000e+00  1.42563573e-01  9.60474665e-02  3.98669922e-01  1.63445250e-02  1.03570895e+07 
 2.36673558e+14  3.24234654e+33  1.68791000e+01  1.84960987e-01  7.61460000e+00  1.43856845e-01  9.70009326e-02  3.95656852e-01  1.67235707e-02  1.00517841e+07 
 2.37626923e+14  3.27436119e+33  1.68131000e+01  1.86152238e-01  7.63060000e+00  1.45116511e-01  9.79307524e-02  3.92906896e-01  1.70972364e-02  9.75869992e+06 
 2.38580289e+14  3.30637584e+33  1.67481000e+01  1.87338214e-01  7.64660000e+00  1.46377848e-01  9.88592760e-02  3.90142320e-01  1.74750213e-02  9.47724137e+06 
 2.39533654e+14  3.33839049e+33  1.66851000e+01  1.88518877e-01  7.66260000e+00  1.47640805e-01  9.97742082e-02  3.87363057e-01  1.78514150e-02  9.20684589e+06 
