# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  3.01652833e+33  1.77531000e+01  1.71675320e-01  6.70360000e+00  1.07694103e-01  8.49664067e-02  5.99933628e-01  1.22608021e-02  1.37695240e+07 
 2.34052474e+14  3.19109835e+33  1.72681000e+01  1.78528247e-01  6.82560000e+00  1.15065810e-01  9.06713030e-02  5.78308033e-01  1.42663197e-02  1.14701316e+07 
 2.38104948e+14  3.36811345e+33  1.68471000e+01  1.85434172e-01  6.94260000e+00  1.22497339e-01  9.62044722e-02  5.57605508e-01  1.63692955e-02  9.62222020e+06 
 2.42157423e+14  3.55833998e+33  1.64591000e+01  1.92799377e-01  7.05960000e+00  1.30354637e-01  1.01874197e-01  5.37120789e-01  1.86841707e-02  8.04534175e+06 
 2.46209897e+14  3.75351336e+33  1.61151000e+01  2.00307540e-01  7.17360000e+00  1.38375623e-01  1.07440089e-01  5.17295017e-01  2.11131220e-02  6.75770731e+06 
 2.50262371e+14  3.96032884e+33  1.58011000e+01  2.08199067e-01  7.28760000e+00  1.46792047e-01  1.13048594e-01  4.97689273e-01  2.37141561e-02  5.67046616e+06 
 2.54314845e+14  4.17500247e+33  1.55191000e+01  2.16334949e-01  7.39860000e+00  1.55415766e-01  1.18593108e-01  4.78937359e-01  2.64338911e-02  4.76901515e+06 
 2.58367319e+14  4.39930057e+33  1.52631000e+01  2.24762965e-01  7.50860000e+00  1.64350412e-01  1.24111966e-01  4.60613827e-01  2.92843495e-02  4.01600227e+06 
 2.62419794e+14  4.63478986e+33  1.50311000e+01  2.33547458e-01  7.61760000e+00  1.73630052e-01  1.29599140e-01  4.42816157e-01  3.22532919e-02  3.38236543e+06 
 2.66472268e+14  4.87742725e+33  1.48231000e+01  2.42518118e-01  7.72460000e+00  1.83122211e-01  1.34972102e-01  4.25614173e-01  3.52871076e-02  2.85863484e+06 
 2.70524742e+14  5.13502379e+33  1.46301000e+01  2.51967417e-01  7.83160000e+00  1.93071046e-01  1.40405733e-01  4.08847141e-01  3.84775362e-02  2.41151623e+06 
 2.74577216e+14  5.41663318e+33  1.44491000e+01  2.62204460e-01  7.94160000e+00  2.03796751e-01  1.45995207e-01  3.92093425e-01  4.18759106e-02  2.02086011e+06 
 2.78629690e+14  5.77732382e+33  1.42491000e+01  2.75334884e-01  8.07660000e+00  2.17566256e-01  1.52826572e-01  3.72053186e-01  4.61846413e-02  1.62815943e+06 
 2.82682165e+14  6.13567395e+33  1.40811000e+01  2.88379852e-01  8.20460000e+00  2.31249100e-01  1.59251277e-01  3.53637961e-01  5.03777960e-02  1.32790157e+06 
 2.86734639e+14  6.51154442e+33  1.39331000e+01  3.02035906e-01  8.33060000e+00  2.45461325e-01  1.65600918e-01  3.36361364e-01  5.46375148e-02  1.08393992e+06 
 2.90787113e+14  6.90431685e+33  1.38031000e+01  3.16260011e-01  8.45660000e+00  2.60285440e-01  1.71861273e-01  3.19628277e-01  5.89354148e-02  8.86352532e+05 
 2.94839587e+14  7.31400581e+33  1.36891000e+01  3.31031447e-01  8.58060000e+00  2.75604674e-01  1.78028673e-01  3.03926231e-01  6.32498712e-02  7.26367228e+05 
