# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.37029568e+33  1.56167610e+03  9.23993474e-02  3.19960000e+00  1.41135548e-02  2.53287384e-02  9.99990046e-01 -6.47601711e-05 -8.48177343e+15 
 2.31339700e+14  1.39938083e+33  7.54321100e+02  8.12790680e-02  3.25360000e+00  1.48876146e-02  7.11009027e-03  9.99811622e-01  1.87027660e-03  1.22281828e+16 
 2.32679400e+14  1.42905874e+33  4.58873100e+02  7.87599729e-02  3.30760000e+00  1.56901356e-02  3.65290394e-03  9.98886843e-01  8.02948253e-04  5.11907090e+14 
 2.34019101e+14  1.45933626e+33  3.20256100e+02  7.79246301e-02  3.35960000e+00  1.64957941e-02  2.60359001e-03  9.96486386e-01  5.17858414e-04  5.76624011e+13 
 2.35358801e+14  1.49027978e+33  2.42191100e+02  7.76780007e-02  3.41260000e+00  1.73429601e-02  2.23076904e-03  9.92200433e-01  3.62489493e-04  1.01429552e+13 
 2.36698501e+14  1.52201427e+33  1.92721100e+02  7.77208639e-02  3.46460000e+00  1.82065044e-02  2.14282650e-03  9.86138621e-01  2.81654988e-04  2.50751800e+12 
 2.38038201e+14  1.55437761e+33  1.59032100e+02  7.79380913e-02  3.51560000e+00  1.90848798e-02  2.21488437e-03  9.78811645e-01  2.33186870e-04  7.83335147e+11 
 2.39377901e+14  1.58737669e+33  1.34760100e+02  7.82745944e-02  3.56760000e+00  2.00064683e-02  2.39642674e-03  9.70697892e-01  2.02058209e-04  2.90233389e+11 
 2.40717601e+14  1.62101839e+33  1.16524100e+02  7.87008067e-02  3.61760000e+00  2.09280522e-02  2.66448122e-03  9.62306945e-01  1.81118422e-04  1.22380964e+11 
 2.42057302e+14  1.65545781e+33  1.02320100e+02  7.92015363e-02  3.66860000e+00  2.18946442e-02  3.00909592e-03  9.53742996e-01  1.66676685e-04  5.69613121e+10 
 2.43397002e+14  1.69066228e+33  9.09911000e+01  7.97656285e-02  3.71860000e+00  2.28761487e-02  3.42442442e-03  9.45235298e-01  1.56758143e-04  2.87550486e+10 
 2.44736702e+14  1.72653898e+33  8.17941000e+01  8.03841588e-02  3.76860000e+00  2.38874700e-02  3.90583510e-03  9.36789523e-01  1.50226374e-04  1.55622396e+10 
 2.46076402e+14  1.76309485e+33  7.41951000e+01  8.10518708e-02  3.81760000e+00  2.49123832e-02  4.45127590e-03  9.28480360e-01  1.46420713e-04  8.93782411e+09 
 2.47416102e+14  1.80033682e+33  6.78251000e+01  8.17649704e-02  3.86660000e+00  2.59671743e-02  5.05914029e-03  9.20214618e-01  1.44967427e-04  5.40697800e+09 
 2.48755802e+14  1.83852452e+33  6.23841000e+01  8.25257613e-02  3.91560000e+00  2.70538744e-02  5.73321407e-03  9.11936641e-01  1.45738810e-04  3.41637449e+09 
 2.50095503e+14  1.87743649e+33  5.77191000e+01  8.33278060e-02  3.96460000e+00  2.81715612e-02  6.46884144e-03  9.03640062e-01  1.48730177e-04  2.25224427e+09 
 2.51435203e+14  1.91706449e+33  5.36811000e+01  8.41691240e-02  4.01260000e+00  2.93021521e-02  7.26547802e-03  8.95411112e-01  1.54076030e-04  1.54399701e+09 
 2.52774903e+14  1.95741549e+33  5.01591000e+01  8.50483883e-02  4.06060000e+00  3.04636415e-02  8.12166792e-03  8.87125602e-01  1.61940913e-04  1.09734503e+09 
 2.54114603e+14  1.99858239e+33  4.70571000e+01  8.59664801e-02  4.10860000e+00  3.16570462e-02  9.03900216e-03  8.78758428e-01  1.72650536e-04  8.05779812e+08 
 2.55454303e+14  2.04068871e+33  4.43011000e+01  8.69253168e-02  4.15660000e+00  3.28836281e-02  1.00195986e-02  8.70289666e-01  1.86612380e-04  6.09326365e+08 
 2.56794003e+14  2.08354818e+33  4.18501000e+01  8.79199144e-02  4.20360000e+00  3.41223008e-02  1.10584266e-02  8.61860789e-01  2.04205466e-04  4.73894819e+08 
 2.58133704e+14  2.12716779e+33  3.96601000e+01  8.89496788e-02  4.25060000e+00  3.53928143e-02  1.21536300e-02  8.53333455e-01  2.25867396e-04  3.77980181e+08 
 2.59473404e+14  2.17155209e+33  3.76921000e+01  9.00140615e-02  4.29760000e+00  3.66955695e-02  1.33051892e-02  8.44700701e-01  2.52176777e-04  3.08299879e+08 
 2.60813104e+14  2.21689074e+33  3.59101000e+01  9.11171095e-02  4.34360000e+00  3.80107245e-02  1.45161281e-02  8.36115302e-01  2.83814690e-04  2.56263440e+08 
 2.62152804e+14  2.26477019e+33  3.42391000e+01  9.22981408e-02  4.39160000e+00  3.94155062e-02  1.58291852e-02  8.27056771e-01  3.22834128e-04  2.15374734e+08 
 2.63492504e+14  2.31323877e+33  3.27321000e+01  9.35098119e-02  4.43960000e+00  4.08538907e-02  1.71924720e-02  8.17891031e-01  3.68709344e-04  1.84007681e+08 
 2.64832204e+14  2.36170735e+33  3.13841000e+01  9.47360013e-02  4.48560000e+00  4.22753873e-02  1.85853606e-02  8.08985979e-01  4.21375916e-04  1.59665555e+08 
