# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.72151260e+33  2.11351000e+01  1.54706312e-01  6.09360000e+00  8.37560614e-02  5.94695758e-02  7.11067996e-01  5.29699394e-03  2.39375240e+07 
 2.30777826e+14  2.75402183e+33  2.09501000e+01  1.55864084e-01  6.12060000e+00  8.50834906e-02  6.05318089e-02  7.06168170e-01  5.51910416e-03  2.29952011e+07 
 2.31555652e+14  2.78653106e+33  2.07711000e+01  1.57023848e-01  6.14660000e+00  8.63902082e-02  6.15912892e-02  7.01435321e-01  5.74594266e-03  2.21003456e+07 
 2.32333478e+14  2.81904029e+33  2.05971000e+01  1.58185359e-01  6.17360000e+00  8.77364727e-02  6.26523316e-02  6.96495074e-01  5.97852178e-03  2.12501089e+07 
 2.33111305e+14  2.85154953e+33  2.04301000e+01  1.59348426e-01  6.19960000e+00  8.90612881e-02  6.37011146e-02  6.91725904e-01  6.21352241e-03  2.04418325e+07 
 2.33889131e+14  2.88405876e+33  2.02681000e+01  1.60512768e-01  6.22460000e+00  9.03638426e-02  6.47480305e-02  6.87132600e-01  6.45336347e-03  1.96730540e+07 
 2.34666957e+14  2.91656799e+33  2.01121000e+01  1.61678205e-01  6.25060000e+00  9.17059318e-02  6.57850666e-02  6.82330146e-01  6.69600038e-03  1.89414644e+07 
 2.35444783e+14  2.94907722e+33  1.99601000e+01  1.62844447e-01  6.27560000e+00  9.30251371e-02  6.68235588e-02  6.77706325e-01  6.94424340e-03  1.82449260e+07 
 2.36222609e+14  2.98158645e+33  1.98131000e+01  1.64011367e-01  6.29960000e+00  9.43205743e-02  6.78555699e-02  6.73266722e-01  7.19603401e-03  1.75814223e+07 
 2.37000435e+14  3.01615588e+33  1.96621000e+01  1.65252999e-01  6.32560000e+00  9.57218494e-02  6.89452233e-02  6.68437287e-01  7.46740146e-03  1.69098841e+07 
 2.37778262e+14  3.05279554e+33  1.95081000e+01  1.66571114e-01  6.35260000e+00  9.71992480e-02  7.00889611e-02  6.63415708e-01  7.75827144e-03  1.62334104e+07 
 2.38556088e+14  3.08943521e+33  1.93581000e+01  1.67891342e-01  6.37960000e+00  9.86868381e-02  7.12352495e-02  6.58380176e-01  8.05627904e-03  1.55910377e+07 
 2.39333914e+14  3.12607487e+33  1.92131000e+01  1.69213409e-01  6.40660000e+00  1.00184489e-01  7.23753102e-02  6.53330647e-01  8.35896239e-03  1.49807683e+07 
 2.40111740e+14  3.16271454e+33  1.90741000e+01  1.70537065e-01  6.43260000e+00  1.01658886e-01  7.34996163e-02  6.48474210e-01  8.66342757e-03  1.44007294e+07 
 2.40889566e+14  3.19935420e+33  1.89381000e+01  1.71862028e-01  6.45860000e+00  1.03142594e-01  7.46293934e-02  6.43606653e-01  8.97579746e-03  1.38491712e+07 
 2.41667392e+14  3.23599387e+33  1.88071000e+01  1.73188085e-01  6.48360000e+00  1.04601772e-01  7.57476626e-02  6.38938215e-01  9.29098747e-03  1.33244526e+07 
 2.42445218e+14  3.27263353e+33  1.86811000e+01  1.74514971e-01  6.50960000e+00  1.06103532e-01  7.68524314e-02  6.34049537e-01  9.60819127e-03  1.28250419e+07 
 2.43223045e+14  3.30927320e+33  1.85581000e+01  1.75842475e-01  6.53460000e+00  1.07580072e-01  7.79584995e-02  6.29362303e-01  9.93190269e-03  1.23495021e+07 
 2.44000871e+14  3.34591286e+33  1.84391000e+01  1.77170375e-01  6.55860000e+00  1.09030533e-01  7.90562793e-02  6.24880547e-01  1.02590551e-02  1.18964893e+07 
 2.44778697e+14  3.38255253e+33  1.83241000e+01  1.78498458e-01  6.58360000e+00  1.10523595e-01  8.01442043e-02  6.20176115e-01  1.05890033e-02  1.14647445e+07 
 2.45556523e+14  3.42104989e+33  1.82071000e+01  1.79894058e-01  6.60860000e+00  1.12056948e-01  8.12792262e-02  6.15498394e-01  1.09393775e-02  1.10326741e+07 
 2.46334349e+14  3.46219938e+33  1.80861000e+01  1.81387343e-01  6.63560000e+00  1.13715796e-01  8.24842378e-02  6.10430505e-01  1.13182184e-02  1.05934201e+07 
 2.47112175e+14  3.50334887e+33  1.79681000e+01  1.82882257e-01  6.66160000e+00  1.15349587e-01  8.36902044e-02  6.05574776e-01  1.17046819e-02  1.01760893e+07 
 2.47890001e+14  3.54449836e+33  1.78551000e+01  1.84378544e-01  6.68760000e+00  1.16993185e-01  8.48769966e-02  6.00713784e-01  1.20916394e-02  9.77942000e+06 
 2.48667828e+14  3.58564785e+33  1.77451000e+01  1.85875900e-01  6.71360000e+00  1.18646499e-01  8.60616596e-02  5.95846832e-01  1.24849173e-02  9.40223019e+06 
 2.49445654e+14  3.62679734e+33  1.76391000e+01  1.87374057e-01  6.73860000e+00  1.20272997e-01  8.72330770e-02  5.91197837e-01  1.28803900e-02  9.04340967e+06 
 2.50223480e+14  3.66794683e+33  1.75361000e+01  1.88872820e-01  6.76460000e+00  1.21945095e-01  8.83995491e-02  5.86319580e-01  1.32809363e-02  8.70191460e+06 
 2.51001306e+14  3.70909632e+33  1.74361000e+01  1.90371893e-01  6.78860000e+00  1.23552656e-01  8.95597517e-02  5.81887953e-01  1.36859722e-02  8.37677107e+06 
 2.51779132e+14  3.75024581e+33  1.73401000e+01  1.91871078e-01  6.81360000e+00  1.25205655e-01  9.07019375e-02  5.77225828e-01  1.40908309e-02  8.06706206e+06 
 2.52556958e+14  3.79139530e+33  1.72461000e+01  1.93370116e-01  6.83760000e+00  1.26829835e-01  9.18454811e-02  5.72787276e-01  1.45028316e-02  7.77193038e+06 
 2.53334785e+14  3.83254479e+33  1.71551000e+01  1.94868843e-01  6.86160000e+00  1.28462037e-01  9.29787936e-02  5.68345430e-01  1.49173673e-02  7.49056877e+06 
 2.54112611e+14  3.87518230e+33  1.70641000e+01  1.96421311e-01  6.88660000e+00  1.30166739e-01  9.41394365e-02  5.63708189e-01  1.53482073e-02  7.21273450e+06 
 2.54890437e+14  3.92123159e+33  1.69691000e+01  1.98098882e-01  6.91260000e+00  1.31979840e-01  9.53811552e-02  5.58928895e-01  1.58162720e-02  6.92717926e+06 
 2.55668263e+14  3.96728089e+33  1.68761000e+01  1.99777508e-01  6.93860000e+00  1.33803227e-01  9.66251250e-02  5.54147310e-01  1.62930590e-02  6.65577306e+06 
 2.56446089e+14  4.01333018e+33  1.67871000e+01  2.01456947e-01  6.96460000e+00  1.35636693e-01  9.78472282e-02  5.49363618e-01  1.67682977e-02  6.39770932e+06 
 2.57223915e+14  4.05937947e+33  1.67001000e+01  2.03136864e-01  6.98960000e+00  1.37440975e-01  9.90690320e-02  5.44812717e-01  1.72509383e-02  6.15223253e+06 
 2.58001741e+14  4.10542877e+33  1.66161000e+01  2.04817120e-01  7.01460000e+00  1.39254435e-01  1.00277667e-01  5.40261710e-01  1.77352983e-02  5.91862857e+06 
 2.58779568e+14  4.15147806e+33  1.65351000e+01  2.06497337e-01  7.03960000e+00  1.41077101e-01  1.01471489e-01  5.35708441e-01  1.82203832e-02  5.69623291e+06 
 2.59557394e+14  4.19752735e+33  1.64561000e+01  2.08177287e-01  7.06460000e+00  1.42908850e-01  1.02661433e-01  5.31152533e-01  1.87108865e-02  5.48441883e+06 
 2.60335220e+14  4.24357665e+33  1.63801000e+01  2.09856823e-01  7.08860000e+00  1.44709172e-01  1.03833928e-01  5.26834609e-01  1.92004677e-02  5.28259671e+06 
 2.61113046e+14  4.28962594e+33  1.63061000e+01  2.11535639e-01  7.11260000e+00  1.46517828e-01  1.05000201e-01  5.22514816e-01  1.96940534e-02  5.09021659e+06 
 2.61890872e+14  4.33567524e+33  1.62341000e+01  2.13213577e-01  7.13660000e+00  1.48334661e-01  1.06159309e-01  5.18193308e-01  2.01910823e-02  4.90675956e+06 
 2.62668698e+14  4.38263734e+33  1.61631000e+01  2.14923661e-01  7.16060000e+00  1.50176336e-01  1.07328071e-01  5.13898797e-01  2.06985060e-02  4.72834910e+06 
 2.63446524e+14  4.43398604e+33  1.60881000e+01  2.16793500e-01  7.18660000e+00  1.52190011e-01  1.08591704e-01  5.09260981e-01  2.12541406e-02  4.54259935e+06 
 2.64224351e+14  4.48533474e+33  1.60151000e+01  2.18663841e-01  7.21160000e+00  1.54172411e-01  1.09849344e-01  5.04867577e-01  2.18147417e-02  4.36598120e+06 
 2.65002177e+14  4.53668343e+33  1.59451000e+01  2.20534300e-01  7.23760000e+00  1.56206625e-01  1.11085924e-01  5.00228812e-01  2.23726023e-02  4.19798026e+06 
