# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.60384107e+33  9.16841000e+01  8.00675707e-02  5.19360000e+00  4.70948806e-02  3.32775161e-03  7.90361252e-01  1.54513205e-04  2.88882244e+10 
 2.30499652e+14  1.61339449e+33  8.87271000e+01  8.02638692e-02  5.20260000e+00  4.74060777e-02  3.46181229e-03  7.83225085e-01  1.52267119e-04  2.38701687e+10 
 2.30999304e+14  1.62304747e+33  8.59401000e+01  8.04649818e-02  5.21160000e+00  4.77195295e-02  3.60185268e-03  7.76283187e-01  1.50288776e-04  1.98353384e+10 
 2.31498956e+14  1.63270045e+33  8.33341000e+01  8.06686629e-02  5.22060000e+00  4.80336633e-02  3.74645365e-03  7.69583211e-01  1.48587369e-04  1.66012094e+10 
 2.31998608e+14  1.64235344e+33  8.08941000e+01  8.08747076e-02  5.22860000e+00  4.83304409e-02  3.89528301e-03  7.63273381e-01  1.47128479e-04  1.39889702e+10 
 2.32498260e+14  1.65211342e+33  7.85801000e+01  8.10852769e-02  5.23760000e+00  4.86475590e-02  4.04993636e-03  7.56967458e-01  1.45883207e-04  1.18420406e+10 
 2.32997913e+14  1.66189677e+33  7.64001000e+01  8.12984525e-02  5.24660000e+00  4.89657280e-02  4.20915031e-03  7.50856229e-01  1.44861765e-04  1.00827824e+10 
 2.33497565e+14  1.67168011e+33  7.43481000e+01  8.15135803e-02  5.25460000e+00  4.92663527e-02  4.37238727e-03  7.45111848e-01  1.44050698e-04  8.63541619e+09 
 2.33997217e+14  1.68151634e+33  7.24041000e+01  8.17316990e-02  5.26360000e+00  4.95866459e-02  4.54031793e-03  7.39356615e-01  1.43427440e-04  7.43128279e+09 
 2.34496869e+14  1.69143014e+33  7.05551000e+01  8.19532645e-02  5.27260000e+00  4.99088600e-02  4.71337078e-03  7.33741562e-01  1.42988415e-04  6.42214342e+09 
 2.34996521e+14  1.70134393e+33  6.88071000e+01  8.21764753e-02  5.28060000e+00  5.02133377e-02  4.89023364e-03  7.28472578e-01  1.42739411e-04  5.57880271e+09 
 2.35496173e+14  1.71125773e+33  6.71541000e+01  8.24012053e-02  5.28960000e+00  5.05368223e-02  5.07050543e-03  7.23175567e-01  1.42654236e-04  4.87021234e+09 
 2.35995825e+14  1.72129433e+33  6.55671000e+01  8.26301538e-02  5.29860000e+00  5.08629464e-02  5.25679996e-03  7.17978151e-01  1.42757348e-04  4.26485158e+09 
 2.36495477e+14  1.73133224e+33  6.40631000e+01  8.28605259e-02  5.30660000e+00  5.11711722e-02  5.44638049e-03  7.13108717e-01  1.43017362e-04  3.75196231e+09 
 2.36995129e+14  1.74137014e+33  6.26341000e+01  8.30921735e-02  5.31560000e+00  5.14985895e-02  5.63946435e-03  7.08177371e-01  1.43452359e-04  3.31535230e+09 
 2.37494781e+14  1.75158272e+33  6.12531000e+01  8.33290888e-02  5.32360000e+00  5.18107665e-02  5.83912735e-03  7.03510145e-01  1.44054803e-04  2.93598156e+09 
 2.37994433e+14  1.76192542e+33  5.99231000e+01  8.35702667e-02  5.33260000e+00  5.21443420e-02  6.04470803e-03  6.98726863e-01  1.44835246e-04  2.60708423e+09 
 2.38494086e+14  1.77226813e+33  5.86571000e+01  8.38126048e-02  5.34060000e+00  5.24597977e-02  6.25361509e-03  6.94256559e-01  1.45787194e-04  2.32457737e+09 
 2.38993738e+14  1.78261084e+33  5.74501000e+01  8.40560311e-02  5.34960000e+00  5.27947003e-02  6.46588311e-03  6.89690078e-01  1.46916841e-04  2.08089184e+09 
 2.39493390e+14  1.79295354e+33  5.63001000e+01  8.43004959e-02  5.35760000e+00  5.31113273e-02  6.68096154e-03  6.85427831e-01  1.48199280e-04  1.86986243e+09 
 2.39993042e+14  1.80329625e+33  5.52011000e+01  8.45458932e-02  5.36660000e+00  5.34475248e-02  6.89928133e-03  6.81051269e-01  1.49662571e-04  1.68638861e+09 
