# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.44399923e+33  9.38071000e+01  8.87048743e-02  4.30860000e+00  2.78272758e-02  3.96486353e-03  9.36854785e-01  1.82873219e-04  2.29699271e+10 
 2.35378408e+14  1.49769884e+33  8.40771000e+01  8.93521761e-02  4.36660000e+00  2.92392667e-02  4.51961104e-03  9.26294535e-01  1.75919527e-04  1.23238209e+10 
 2.40756815e+14  1.55129029e+33  7.64641000e+01  9.00117538e-02  4.42060000e+00  3.06126490e-02  5.11026676e-03  9.16248409e-01  1.72342291e-04  7.24022442e+09 
 2.46135223e+14  1.60476445e+33  7.03541000e+01  9.06738429e-02  4.47060000e+00  3.19417569e-02  5.72701181e-03  9.06698201e-01  1.71348960e-04  4.57600827e+09 
 2.51513631e+14  1.65816321e+33  6.53461000e+01  9.13324518e-02  4.51660000e+00  3.32218005e-02  6.36229932e-03  8.97627504e-01  1.72433410e-04  3.07017111e+09 
 2.56892038e+14  1.71136811e+33  6.11791000e+01  9.19816477e-02  4.55960000e+00  3.44636894e-02  7.00856451e-03  8.88945762e-01  1.75287922e-04  2.16685508e+09 
 2.62270446e+14  1.76439723e+33  5.76611000e+01  9.26185959e-02  4.59960000e+00  3.56640750e-02  7.66054567e-03  8.80639019e-01  1.79674532e-04  1.59580034e+09 
 2.67648853e+14  1.81728306e+33  5.46511000e+01  9.32414722e-02  4.63660000e+00  3.68199384e-02  8.31481047e-03  8.72703003e-01  1.85463635e-04  1.21836124e+09 
 2.73027261e+14  1.86975457e+33  5.20611000e+01  9.38456679e-02  4.67160000e+00  3.79433457e-02  8.96448381e-03  8.65046508e-01  1.92490684e-04  9.60447538e+08 
 2.78405669e+14  2.02230247e+33  4.58681000e+01  9.56319061e-02  4.76460000e+00  4.11498966e-02  1.09519407e-02  8.43382008e-01  2.21462789e-04  5.33837206e+08 
 2.83784076e+14  2.16020169e+33  4.12861000e+01  9.74232355e-02  4.84860000e+00  4.42154167e-02  1.29932283e-02  8.22868097e-01  2.62735112e-04  3.41030367e+08 
 2.89162484e+14  2.30412631e+33  3.73941000e+01  9.94258951e-02  4.93160000e+00  4.74445506e-02  1.53118393e-02  8.01516125e-01  3.24001354e-04  2.31543761e+08 
 2.94540892e+14  2.45490224e+33  3.40691000e+01  1.01653820e-01  5.01560000e+00  5.08819642e-02  1.79192126e-02  7.79101196e-01  4.11862852e-04  1.65388686e+08 
